"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1336.1,0,0,900,0,0,0
899.96,800,-899.96,1335.7,0.090347,0,899.96,800,0,0
899.93,1600,-899.93,1335.3,0.18069,0,899.93,1600,0,0
899.89,2400,-899.89,1334.9,0.27104,0,899.89,2400,0,0
899.86,3200,-899.86,1334.5,0.36139,0,899.86,3200,0,0
899.82,4000,-899.82,1334.1,0.45174,0,899.82,4000,0,0
899.78,4800,-899.78,1333.7,0.54208,0,899.78,4800,0,0
899.75,5600,-899.75,1333.3,0.63243,0,899.75,5600,0,0
899.71,6400,-899.71,1332.9,0.72278,0,899.71,6400,0,0
899.67,7200,-899.67,1332.5,0.81313,0,899.67,7200,0,0
899.64,8000,-899.64,1332.1,0.90347,0,899.64,8000,0,0
899.6,8800,-899.6,1331.7,0.99382,0,899.6,8800,0,0
899.57,9600,-899.57,1331.3,1.0842,0,899.57,9600,0,0
899.49,10400,-899.49,1330.8,1.175,0,899.49,10400,0,0
899.38,11200,-899.38,1330.1,1.2663,0,899.38,11200,0,0
899.28,12000,-899.28,1329.4,1.3576,0,899.28,12000,0,0
899.17,12800,-899.17,1328.7,1.4489,0,899.17,12800,0,0
899.06,13600,-899.06,1328,1.5402,0,899.06,13600,0,0
898.95,14400,-898.95,1327.3,1.6315,0,898.95,14400,0,0
898.84,15200,-898.84,1326.6,1.7227,0,898.84,15200,0,0
898.73,16000,-898.73,1326,1.814,0,898.73,16000,0,0
898.62,16800,-898.62,1325.3,1.9053,0,898.62,16800,0,0
898.51,17600,-898.51,1324.6,1.9966,0,898.51,17600,0,0
898.41,18400,-898.41,1323.9,2.0879,0,898.41,18400,0,0
898.3,19200,-898.3,1323.2,2.1792,0,898.3,19200,0,0
898.19,20000,-898.19,1322.5,2.2705,0,898.19,20000,0,0
898.01,20800,-898.01,1321.7,2.3636,0,898.01,20800,0,0
897.82,21600,-897.82,1320.9,2.4568,0,897.82,21600,0,0
897.64,22400,-897.64,1320.1,2.5499,0,897.64,22400,0,0
897.46,23200,-897.46,1319.3,2.643,0,897.46,23200,0,0
897.28,24000,-897.28,1318.4,2.7362,0,897.28,24000,0,0
897.1,24800,-897.1,1317.6,2.8293,0,897.1,24800,0,0
896.92,25600,-896.92,1316.8,2.9224,0,896.92,25600,0,0
896.74,26400,-896.74,1316,3.0156,0,896.74,26400,0,0
896.56,27200,-896.56,1315.2,3.1087,0,896.56,27200,0,0
896.38,28000,-896.38,1314.3,3.2018,0,896.38,28000,0,0
896.19,28800,-896.19,1313.5,3.295,0,896.19,28800,0,0
896.01,29600,-896.01,1312.7,3.3881,0,896.01,29600,0,0
895.79,30400,-895.79,1311.9,3.4819,0,895.79,30400,0,0
895.54,31200,-895.54,1311.1,3.5763,0,895.54,31200,0,0
895.29,32000,-895.29,1310.2,3.6707,0,895.29,32000,0,0
895.03,32800,-895.03,1309.4,3.7651,0,895.03,32800,0,0
894.78,33600,-894.78,1308.6,3.8596,0,894.78,33600,0,0
894.53,34400,-894.53,1307.8,3.954,0,894.53,34400,0,0
894.27,35200,-894.27,1307,4.0484,0,894.27,35200,0,0
894.02,36000,-894.02,1306.1,4.1428,0,894.02,36000,0,0
893.76,36800,-893.76,1305.3,4.2372,0,893.76,36800,0,0
893.51,37600,-893.51,1304.5,4.3317,0,893.51,37600,0,0
893.26,38400,-893.26,1303.7,4.4261,0,893.26,38400,0,0
893,39200,-893,1302.8,4.5205,0,893,39200,0,0
892.75,40000,-892.75,1302,4.6149,0,892.75,40000,0,0
892.42,40800,-892.42,1301.2,4.7109,0,892.42,40800,0,0
892.1,41600,-892.1,1300.4,4.8068,0,892.1,41600,0,0
891.77,42400,-891.77,1299.6,4.9028,0,891.77,42400,0,0
891.45,43200,-891.45,1298.7,4.9988,0,891.45,43200,0,0
891.12,44000,-891.12,1297.9,5.0947,0,891.12,44000,0,0
890.79,44800,-890.79,1297.1,5.1907,0,890.79,44800,0,0
890.47,45600,-890.47,1296.3,5.2866,0,890.47,45600,0,0
890.14,46400,-890.14,1295.5,5.3826,0,890.14,46400,0,0
