"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1339.1,0,0,900,0,0,0
899.99,1139.6,-899.99,1339,0.089613,0.089616,899.99,800,800,0
899.98,2289.5,-899.98,1338.8,0.17924,0.17925,899.98,1600,1600,0
899.95,3395.9,-899.95,1338.6,0.26891,0.26893,899.95,2400,2400,0
899.91,4537.6,-899.91,1338.2,0.35866,0.35866,899.91,3200,3200,0
899.85,5670.9,-899.85,1337.7,0.44848,0.4485,899.85,4000,4000,0
899.79,6793,-899.79,1337.1,0.53842,0.53843,899.79,4800,4800,0
899.71,7930.5,-899.71,1336.4,0.62849,0.6285,899.71,5600,5600,0
899.63,9061.8,-899.63,1335.6,0.7187,0.71872,899.63,6400,6400,0
899.53,10186,-899.53,1334.7,0.80907,0.80909,899.53,7200,7200,0
899.42,11321,-899.42,1333.8,0.89957,0.89959,899.42,8000,8000,0
899.3,12454,-899.3,1332.9,0.9902,0.99022,899.3,8800,8800,0
899.16,13579,-899.16,1332,1.081,1.081,899.16,9600,9600,0
899.02,14712,-899.02,1331,1.1719,1.1719,899.02,10400,10400,0
898.86,15844,-898.86,1330,1.263,1.263,898.86,11200,11200,0
898.69,16972,-898.69,1329.1,1.3542,1.3542,898.69,12000,12000,0
898.51,18105,-898.51,1328,1.4456,1.4456,898.51,12800,12800,0
898.32,19237,-898.32,1327,1.5371,1.5372,898.32,13600,13600,0
898.12,20365,-898.12,1326,1.6288,1.6288,898.12,14400,14400,0
897.91,21500,-897.91,1324.9,1.7206,1.7207,897.91,15200,15200,0
897.68,22631,-897.68,1323.9,1.8127,1.8127,897.68,16000,16000,0
897.44,23759,-897.44,1322.8,1.9048,1.9049,897.44,16800,16800,0
897.19,24894,-897.19,1321.7,1.9972,1.9972,897.19,17600,17600,0
896.93,26025,-896.93,1320.6,2.0897,2.0897,896.93,18400,18400,0
896.66,27153,-896.66,1319.5,2.1824,2.1824,896.66,19200,19200,0
896.37,28287,-896.37,1318.4,2.2752,2.2753,896.37,20000,20000,0
896.08,29419,-896.08,1317.3,2.3683,2.3683,896.08,20800,20800,0
895.77,30547,-895.77,1316.2,2.4615,2.4615,895.77,21600,21600,0
895.45,31680,-895.45,1315,2.5548,2.5549,895.45,22400,22400,0
895.12,32812,-895.12,1313.9,2.6484,2.6484,895.12,23200,23200,0
894.78,33941,-894.78,1312.7,2.7421,2.7422,894.78,24000,24000,0
894.43,35075,-894.43,1311.6,2.836,2.8361,894.43,24800,24800,0
894.06,36206,-894.06,1310.4,2.9301,2.9302,894.06,25600,25600,0
