"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1336.6,0,0,900,0,0,0
899.99,800,-899.99,1336.5,0,0.089233,899.99,0,800,0
899.99,1600,-899.99,1336.5,0,0.17847,899.99,0,1600,0
899.97,2400,-899.97,1336.3,0,0.26774,899.97,0,2400,0
899.95,3200,-899.95,1336.1,0,0.35704,899.95,0,3200,0
899.93,4000,-899.93,1335.9,0,0.44635,899.93,0,4000,0
899.89,4800,-899.89,1335.6,0,0.53576,899.89,0,4800,0
899.86,5600,-899.86,1335.3,0,0.62517,899.86,0,5600,0
899.81,6400,-899.81,1334.8,0,0.71471,899.81,0,6400,0
899.76,7200,-899.76,1334.4,0,0.80437,899.76,0,7200,0
899.71,8000,-899.71,1333.9,0,0.89403,899.71,0,8000,0
899.64,8800,-899.64,1333.3,0,0.98393,899.64,0,8800,0
899.58,9600,-899.58,1332.7,0,1.0738,899.58,0,9600,0
899.51,10400,-899.51,1332.1,0,1.1639,899.51,0,10400,0
899.43,11200,-899.43,1331.5,0,1.254,899.43,0,11200,0
899.35,12000,-899.35,1330.9,0,1.3442,899.35,0,12000,0
899.25,12800,-899.25,1330.2,0,1.4346,899.25,0,12800,0
899.16,13600,-899.16,1329.5,0,1.525,899.16,0,13600,0
899.06,14400,-899.06,1328.8,0,1.6156,899.06,0,14400,0
898.95,15200,-898.95,1328.1,0,1.7062,898.95,0,15200,0
898.84,16000,-898.84,1327.4,0,1.7969,898.84,0,16000,0
898.72,16800,-898.72,1326.7,0,1.8878,898.72,0,16800,0
898.59,17600,-898.59,1326,0,1.9787,898.59,0,17600,0
898.46,18400,-898.46,1325.3,0,2.0698,898.46,0,18400,0
898.33,19200,-898.33,1324.6,0,2.161,898.33,0,19200,0
898.19,20000,-898.19,1323.9,0,2.2523,898.19,0,20000,0
898.04,20800,-898.04,1323.1,0,2.3438,898.04,0,20800,0
897.88,21600,-897.88,1322.4,0,2.4353,897.88,0,21600,0
897.72,22400,-897.72,1321.6,0,2.5269,897.72,0,22400,0
897.56,23200,-897.56,1320.9,0,2.6187,897.56,0,23200,0
897.39,24000,-897.39,1320.1,0,2.7105,897.39,0,24000,0
897.21,24800,-897.21,1319.3,0,2.8026,897.21,0,24800,0
897.03,25600,-897.03,1318.6,0,2.8946,897.03,0,25600,0
896.84,26400,-896.84,1317.8,0,2.9869,896.84,0,26400,0
896.64,27200,-896.64,1317,0,3.0793,896.64,0,27200,0
896.45,28000,-896.45,1316.2,0,3.1717,896.45,0,28000,0
896.24,28800,-896.24,1315.4,0,3.2643,896.24,0,28800,0
896.03,29600,-896.03,1314.6,0,3.357,896.03,0,29600,0
895.81,30400,-895.81,1313.8,0,3.4498,895.81,0,30400,0
895.58,31200,-895.58,1313,0,3.5429,895.58,0,31200,0
895.36,32000,-895.36,1312.2,0,3.6359,895.36,0,32000,0
895.12,32800,-895.12,1311.4,0,3.7292,895.12,0,32800,0
894.88,33600,-894.88,1310.6,0,3.8225,894.88,0,33600,0
894.63,34400,-894.63,1309.8,0,3.9159,894.63,0,34400,0
894.38,35200,-894.38,1308.9,0,4.0096,894.38,0,35200,0
894.13,36000,-894.13,1308.1,0,4.1032,894.13,0,36000,0
893.86,36800,-893.86,1307.3,0,4.1971,893.86,0,36800,0
893.59,37600,-893.59,1306.5,0,4.2911,893.59,0,37600,0
893.32,38400,-893.32,1305.6,0,4.3852,893.32,0,38400,0
893.03,39200,-893.03,1304.8,0,4.4795,893.03,0,39200,0
892.75,40000,-892.75,1303.9,0,4.5737,892.75,0,40000,0
892.45,40800,-892.45,1303.1,0,4.6683,892.45,0,40800,0
892.16,41600,-892.16,1302.3,0,4.7629,892.16,0,41600,0
891.85,42400,-891.85,1301.4,0,4.8577,891.85,0,42400,0
891.54,43200,-891.54,1300.6,0,4.9526,891.54,0,43200,0
891.23,44000,-891.23,1299.7,0,5.0475,891.23,0,44000,0
890.9,44800,-890.9,1298.8,0,5.1428,890.9,0,44800,0
890.58,45600,-890.58,1298,0,5.2381,890.58,0,45600,0
890.24,46400,-890.24,1297.1,0,5.3335,890.24,0,46400,0
889.9,47200,-889.9,1296.3,0,5.4291,889.9,0,47200,0
889.56,48000,-889.56,1295.4,0,5.5247,889.56,0,48000,0
889.2,48800,-889.2,1294.5,0,5.6207,889.2,0,48800,0
888.85,49600,-888.85,1293.7,0,5.7166,888.85,0,49600,0
888.49,50400,-888.49,1292.8,0,5.8127,888.49,0,50400,0
888.12,51200,-888.12,1291.9,0,5.909,888.12,0,51200,0
887.75,52000,-887.75,1291,0,6.0053,887.75,0,52000,0
887.36,52800,-887.36,1290.2,0,6.1019,887.36,0,52800,0
886.98,53600,-886.98,1289.3,0,6.1985,886.98,0,53600,0
886.59,54400,-886.59,1288.4,0,6.2953,886.59,0,54400,0
886.19,55200,-886.19,1287.5,0,6.3923,886.19,0,55200,0
885.79,56000,-885.79,1286.7,0,6.4893,885.79,0,56000,0
885.38,56800,-885.38,1285.8,0,6.5866,885.38,0,56800,0
884.96,57600,-884.96,1284.9,0,6.6839,884.96,0,57600,0
884.54,58400,-884.54,1284,0,6.7814,884.54,0,58400,0
884.12,59200,-884.12,1283.1,0,6.8791,884.12,0,59200,0
883.69,60000,-883.69,1282.2,0,6.9768,883.69,0,60000,0
883.25,60800,-883.25,1281.3,0,7.0748,883.25,0,60800,0
882.8,61600,-882.8,1280.4,0,7.1729,882.8,0,61600,0
882.35,62400,-882.35,1279.5,0,7.2711,882.35,0,62400,0
881.9,63200,-881.9,1278.6,0,7.3695,881.9,0,63200,0
881.44,64000,-881.44,1277.8,0,7.4679,881.44,0,64000,0
880.97,64800,-880.97,1276.9,0,7.5666,880.97,0,64800,0
880.5,65600,-880.5,1276,0,7.6654,880.5,0,65600,0
880.02,66400,-880.02,1275.1,0,7.7643,880.02,0,66400,0
879.53,67200,-879.53,1274.2,0,7.8635,879.53,0,67200,0
879.05,68000,-879.05,1273.3,0,7.9626,879.05,0,68000,0
878.55,68800,-878.55,1272.4,0,8.062,878.55,0,68800,0
878.05,69600,-878.05,1271.5,0,8.1615,878.05,0,69600,0
877.54,70400,-877.54,1270.5,0,8.2612,877.54,0,70400,0
