"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,300.51,1.23e-05,2.3399e-05,900,0,0,0
899.95,1131.4,-899.95,300.51,0.0019708,0.0019822,899.95,800,800,0
899.89,2262.7,-899.89,300.51,0.0039292,0.0039409,899.89,1600,1600,0
899.84,3394.1,-899.84,300.5,0.0058877,0.0058997,899.84,2400,2400,0
899.79,4525.5,-899.79,300.5,0.0078462,0.0078585,899.79,3200,3200,0
899.73,5656.9,-899.73,300.5,0.0098047,0.0098172,899.73,4000,4000,0
899.68,6788.2,-899.68,300.5,0.011763,0.011776,899.68,4800,4800,0
899.63,7919.6,-899.63,300.5,0.013722,0.013735,899.63,5600,5600,0
899.58,9051,-899.58,300.5,0.01568,0.015694,899.58,6400,6400,0
899.52,10182,-899.52,300.5,0.017639,0.017652,899.52,7200,7200,0
899.38,11397,-899.38,300.5,0.019637,0.01964,899.38,8000,8000,0
899.23,12626,-899.23,300.5,0.021641,0.021633,899.23,8800,8800,0
899.07,13855,-899.07,300.5,0.023646,0.023626,899.07,9600,9600,0
898.91,15084,-898.91,300.5,0.025651,0.025619,898.91,10400,10400,0
898.76,16314,-898.76,300.51,0.027656,0.027613,898.76,11200,11200,0
898.6,17543,-898.6,300.51,0.029661,0.029606,898.6,12000,12000,0
898.39,18636,-898.39,300.51,0.031609,0.031526,898.39,12800,12800,0
898.16,19707,-898.16,300.51,0.033547,0.033434,898.16,13600,13600,0
897.94,20778,-897.94,300.51,0.035485,0.035342,897.94,14400,14400,0
897.72,21849,-897.72,300.51,0.037423,0.03725,897.72,15200,15200,0
897.5,22920,-897.5,300.51,0.039362,0.039158,897.5,16000,16000,0
897.28,23992,-897.28,300.51,0.0413,0.041066,897.28,16800,16800,0
897.05,25063,-897.05,300.51,0.043238,0.042974,897.05,17600,17600,0
896.83,26134,-896.83,300.51,0.045176,0.044882,896.83,18400,18400,0
896.59,27296,-896.59,300.51,0.047103,0.0468,896.59,19200,19200,0
896.33,28408,-896.33,300.51,0.049038,0.048731,896.33,20000,20000,0
896,29524,-896,300.51,0.050994,0.050694,896,20800,20800,0
895.66,30678,-895.66,300.51,0.052951,0.052666,895.66,21600,21600,0
895.31,31833,-895.31,300.51,0.054909,0.054638,895.31,22400,22400,0
894.96,32988,-894.96,300.51,0.056867,0.05661,894.96,23200,23200,0
894.62,34143,-894.62,300.51,0.058825,0.058583,894.62,24000,24000,0
894.27,35298,-894.27,300.51,0.060783,0.060555,894.27,24800,24800,0
893.93,36452,-893.93,300.51,0.06274,0.062527,893.93,25600,25600,0
893.58,37607,-893.58,300.51,0.064698,0.064499,893.58,26400,26400,0
893.18,38695,-893.18,300.51,0.066652,0.066454,893.18,27200,27200,0
892.78,39781,-892.78,300.51,0.068606,0.068407,892.78,28000,28000,0
892.38,40866,-892.38,300.51,0.070561,0.07036,892.38,28800,28800,0
891.94,42014,-891.94,300.51,0.072499,0.072316,891.94,29600,29600,0
891.49,43168,-891.49,300.51,0.074436,0.074271,891.49,30400,30400,0
891.04,44322,-891.04,300.51,0.076373,0.076227,891.04,31200,31200,0
890.58,45475,-890.58,300.51,0.078311,0.078182,890.58,32000,32000,0
890.13,46629,-890.13,300.51,0.080248,0.080138,890.13,32800,32800,0
889.63,47738,-889.63,300.51,0.082207,0.082099,889.63,33600,33600,0
889.13,48843,-889.13,300.51,0.084168,0.08406,889.13,34400,34400,0
888.62,49948,-888.62,300.51,0.086129,0.086021,888.62,35200,35200,0
888.11,51053,-888.11,300.51,0.08809,0.087982,888.11,36000,36000,0
887.61,52158,-887.61,300.51,0.090051,0.089943,887.61,36800,36800,0
887.1,53263,-887.1,300.51,0.092012,0.091904,887.1,37600,37600,0
886.56,54397,-886.56,300.51,0.093981,0.09387,886.56,38400,38400,0
886.01,55541,-886.01,300.51,0.095954,0.095836,886.01,39200,39200,0
885.41,56656,-885.41,300.51,0.097917,0.097799,885.41,40000,40000,0
884.8,57768,-884.8,300.51,0.099878,0.099762,884.8,40800,40800,0
884.2,58880,-884.2,300.51,0.10184,0.10172,884.2,41600,41600,0
883.59,59992,-883.59,300.51,0.1038,0.10369,883.59,42400,42400,0
882.98,61112,-882.98,300.51,0.10576,0.10565,882.98,43200,43200,0
882.36,62262,-882.36,300.51,0.10773,0.10761,882.36,44000,44000,0
881.73,63411,-881.73,300.51,0.10969,0.10958,881.73,44800,44800,0
881.11,64560,-881.11,300.51,0.11165,0.11154,881.11,45600,45600,0
