"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,300.51,1.23e-05,2.3399e-05,900,0,0,0
899.96,800,-899.96,300.51,0.0019849,2.7733e-05,899.96,800,0,0
899.93,1600,-899.93,300.51,0.0039576,3.2067e-05,899.93,1600,0,0
899.89,2400,-899.89,300.51,0.0059303,3.6401e-05,899.89,2400,0,0
899.86,3200,-899.86,300.51,0.0079029,4.0735e-05,899.86,3200,0,0
899.82,4000,-899.82,300.51,0.0098756,4.5069e-05,899.82,4000,0,0
899.78,4800,-899.78,300.51,0.011848,4.9404e-05,899.78,4800,0,0
899.75,5600,-899.75,300.51,0.013821,5.3738e-05,899.75,5600,0,0
899.71,6400,-899.71,300.51,0.015794,5.8072e-05,899.71,6400,0,0
899.67,7200,-899.67,300.51,0.017766,6.2406e-05,899.67,7200,0,0
899.64,8000,-899.64,300.51,0.019739,6.674e-05,899.64,8000,0,0
899.6,8800,-899.6,300.51,0.021711,7.1074e-05,899.6,8800,0,0
899.57,9600,-899.57,300.51,0.023684,7.5408e-05,899.57,9600,0,0
899.49,10400,-899.49,300.51,0.025647,7.9796e-05,899.49,10400,0,0
899.38,11200,-899.38,300.51,0.027601,8.4238e-05,899.38,11200,0,0
899.28,12000,-899.28,300.51,0.029554,8.868e-05,899.28,12000,0,0
899.17,12800,-899.17,300.51,0.031508,9.3122e-05,899.17,12800,0,0
899.06,13600,-899.06,300.51,0.033461,9.7564e-05,899.06,13600,0,0
898.95,14400,-898.95,300.51,0.035415,0.00010201,898.95,14400,0,0
898.84,15200,-898.84,300.51,0.037368,0.00010645,898.84,15200,0,0
898.73,16000,-898.73,300.51,0.039322,0.00011089,898.73,16000,0,0
898.62,16800,-898.62,300.51,0.041275,0.00011533,898.62,16800,0,0
898.51,17600,-898.51,300.51,0.043229,0.00011977,898.51,17600,0,0
898.41,18400,-898.41,300.51,0.045182,0.00012422,898.41,18400,0,0
898.3,19200,-898.3,300.51,0.047136,0.00012866,898.3,19200,0,0
898.19,20000,-898.19,300.51,0.049089,0.0001331,898.19,20000,0,0
898.01,20800,-898.01,300.51,0.051042,0.00012568,898.01,20800,0,0
897.83,21600,-897.83,300.51,0.052995,0.00011826,897.83,21600,0,0
897.64,22400,-897.64,300.51,0.054948,0.00011084,897.64,22400,0,0
897.46,23200,-897.46,300.51,0.056902,0.00010343,897.46,23200,0,0
897.28,24000,-897.28,300.51,0.058855,9.6007e-05,897.28,24000,0,0
897.1,24800,-897.1,300.51,0.060808,8.8588e-05,897.1,24800,0,0
896.92,25600,-896.92,300.51,0.062761,8.117e-05,896.92,25600,0,0
896.74,26400,-896.74,300.51,0.064714,7.3751e-05,896.74,26400,0,0
896.56,27200,-896.56,300.51,0.066667,6.6332e-05,896.56,27200,0,0
896.38,28000,-896.38,300.51,0.06862,5.8913e-05,896.38,28000,0,0
896.19,28800,-896.19,300.51,0.070574,5.1495e-05,896.19,28800,0,0
896.01,29600,-896.01,300.51,0.072527,4.4076e-05,896.01,29600,0,0
895.79,30400,-895.79,300.51,0.074478,5.0945e-05,895.79,30400,0,0
895.54,31200,-895.54,300.51,0.076428,7.2103e-05,895.54,31200,0,0
895.29,32000,-895.29,300.51,0.078379,9.3261e-05,895.29,32000,0,0
895.03,32800,-895.03,300.51,0.080329,0.00011442,895.03,32800,0,0
894.78,33600,-894.78,300.51,0.082279,0.00013558,894.78,33600,0,0
894.53,34400,-894.53,300.51,0.084229,0.00015673,894.53,34400,0,0
894.27,35200,-894.27,300.51,0.086179,0.00017789,894.27,35200,0,0
894.02,36000,-894.02,300.51,0.088129,0.00019905,894.02,36000,0,0
893.76,36800,-893.76,300.51,0.090079,0.00022021,893.76,36800,0,0
893.51,37600,-893.51,300.51,0.092029,0.00024136,893.51,37600,0,0
893.26,38400,-893.26,300.51,0.09398,0.00026252,893.26,38400,0,0
893,39200,-893,300.51,0.09593,0.00028368,893,39200,0,0
892.75,40000,-892.75,300.51,0.09788,0.00030484,892.75,40000,0,0
892.42,40800,-892.42,300.51,0.099841,0.00030511,892.42,40800,0,0
892.1,41600,-892.1,300.51,0.1018,0.00030538,892.1,41600,0,0
891.77,42400,-891.77,300.51,0.10376,0.00030565,891.77,42400,0,0
891.45,43200,-891.45,300.51,0.10572,0.00030592,891.45,43200,0,0
891.12,44000,-891.12,300.51,0.10768,0.00030619,891.12,44000,0,0
890.79,44800,-890.79,300.51,0.10964,0.00030646,890.79,44800,0,0
890.47,45600,-890.47,300.51,0.1116,0.00030673,890.47,45600,0,0
890.14,46400,-890.14,300.51,0.11357,0.000307,890.14,46400,0,0
889.81,47200,-889.81,300.51,0.11553,0.00030727,889.81,47200,0,0
889.49,48000,-889.49,300.51,0.11749,0.00030755,889.49,48000,0,0
889.16,48800,-889.16,300.51,0.11945,0.00030782,889.16,48800,0,0
888.84,49600,-888.84,300.51,0.12141,0.00030809,888.84,49600,0,0
888.47,50400,-888.47,300.51,0.12336,0.0003019,888.47,50400,0,0
888.07,51200,-888.07,300.51,0.12531,0.00028924,888.07,51200,0,0
887.68,52000,-887.68,300.51,0.12726,0.00027659,887.68,52000,0,0
887.28,52800,-887.28,300.51,0.12921,0.00026394,887.28,52800,0,0
886.88,53600,-886.88,300.51,0.13116,0.00025128,886.88,53600,0,0
886.48,54400,-886.48,300.51,0.13311,0.00023863,886.48,54400,0,0
886.08,55200,-886.08,300.51,0.13506,0.00022598,886.08,55200,0,0
885.68,56000,-885.68,300.51,0.13701,0.00021332,885.68,56000,0,0
885.28,56800,-885.28,300.51,0.13896,0.00020067,885.28,56800,0,0
884.88,57600,-884.88,300.51,0.14091,0.00018801,884.88,57600,0,0
884.49,58400,-884.49,300.51,0.14286,0.00017536,884.49,58400,0,0
884.09,59200,-884.09,300.51,0.1448,0.00016271,884.09,59200,0,0
883.69,60000,-883.69,300.51,0.14675,0.00015005,883.69,60000,0,0
883.22,60800,-883.22,300.51,0.14873,0.00015951,883.22,60800,0,0
882.75,61600,-882.75,300.51,0.1507,0.00016896,882.75,61600,0,0
882.27,62400,-882.27,300.51,0.15267,0.00017841,882.27,62400,0,0
881.8,63200,-881.8,300.51,0.15464,0.00018787,881.8,63200,0,0
881.33,64000,-881.33,300.51,0.15662,0.00019732,881.33,64000,0,0
880.86,64800,-880.86,300.51,0.15859,0.00020677,880.86,64800,0,0
880.39,65600,-880.39,300.51,0.16056,0.00021623,880.39,65600,0,0
879.92,66400,-879.92,300.51,0.16253,0.00022568,879.92,66400,0,0
879.45,67200,-879.45,300.51,0.16451,0.00023514,879.45,67200,0,0
878.98,68000,-878.98,300.51,0.16648,0.00024459,878.98,68000,0,0
878.5,68800,-878.5,300.51,0.16845,0.00025404,878.5,68800,0,0
878.03,69600,-878.03,300.51,0.17042,0.0002635,878.03,69600,0,0
877.53,70400,-877.53,300.51,0.17238,0.00026729,877.53,70400,0,0
876.98,71200,-876.98,300.51,0.17434,0.00026541,876.98,71200,0,0
876.44,72000,-876.44,300.51,0.17629,0.00026354,876.44,72000,0,0
875.89,72800,-875.89,300.51,0.17824,0.00026167,875.89,72800,0,0
875.35,73600,-875.35,300.51,0.18019,0.00025979,875.35,73600,0,0
874.81,74400,-874.81,300.51,0.18214,0.00025792,874.81,74400,0,0
874.26,75200,-874.26,300.51,0.18409,0.00025605,874.26,75200,0,0
873.72,76000,-873.72,300.51,0.18604,0.00025417,873.72,76000,0,0
873.18,76800,-873.18,300.51,0.18799,0.0002523,873.18,76800,0,0
872.63,77600,-872.63,300.51,0.18995,0.00025043,872.63,77600,0,0
872.09,78400,-872.09,300.51,0.1919,0.00024855,872.09,78400,0,0
871.54,79200,-871.54,300.51,0.19385,0.00024668,871.54,79200,0,0
871,80000,-871,300.51,0.1958,0.00024481,871,80000,0,0
870.38,80800,-870.38,300.51,0.19776,0.00024015,870.38,80800,0,0
869.77,81600,-869.77,300.51,0.19972,0.00023549,869.77,81600,0,0
869.15,82400,-869.15,300.51,0.20168,0.00023083,869.15,82400,0,0
868.54,83200,-868.54,300.51,0.20364,0.00022618,868.54,83200,0,0
867.92,84000,-867.92,300.51,0.20561,0.00022152,867.92,84000,0,0
867.3,84800,-867.3,300.51,0.20757,0.00021686,867.3,84800,0,0
866.69,85600,-866.69,300.51,0.20953,0.0002122,866.69,85600,0,0
866.07,86400,-866.07,300.51,0.21149,0.00020754,866.07,86400,0,0
865.45,87200,-865.45,300.51,0.21345,0.00020289,865.45,87200,0,0
864.84,88000,-864.84,300.51,0.21541,0.00019823,864.84,88000,0,0
864.22,88800,-864.22,300.51,0.21737,0.00019357,864.22,88800,0,0
863.61,89600,-863.61,300.51,0.21933,0.00018891,863.61,89600,0,0
862.95,90400,-862.95,300.51,0.22129,0.00018186,862.95,90400,0,0
862.26,91200,-862.26,300.51,0.22325,0.00017241,862.26,91200,0,0
861.58,92000,-861.58,300.51,0.22521,0.00016297,861.58,92000,0,0
860.89,92800,-860.89,300.51,0.22716,0.00015352,860.89,92800,0,0
860.2,93600,-860.2,300.51,0.22912,0.00014407,860.2,93600,0,0
859.51,94400,-859.51,300.51,0.23108,0.00013463,859.51,94400,0,0
858.82,95200,-858.82,300.51,0.23303,0.00012518,858.82,95200,0,0
858.13,96000,-858.13,300.51,0.23499,0.00011573,858.13,96000,0,0
857.44,96800,-857.44,300.51,0.23695,0.00010629,857.44,96800,0,0
856.75,97600,-856.75,300.51,0.2389,9.6839e-05,856.75,97600,0,0
856.07,98400,-856.07,300.51,0.24086,8.7392e-05,856.07,98400,0,0
855.38,99200,-855.38,300.51,0.24282,7.7945e-05,855.38,99200,0,0
854.69,1e+05,-854.69,300.51,0.24477,6.8498e-05,854.69,1e+05,0,0
853.93,1.008e+05,-853.93,300.51,0.24672,8.466e-05,853.93,1.008e+05,0,0
853.17,1.016e+05,-853.17,300.51,0.24866,0.00010082,853.17,1.016e+05,0,0
852.4,1.024e+05,-852.4,300.51,0.25061,0.00011698,852.4,1.024e+05,0,0
851.64,1.032e+05,-851.64,300.51,0.25255,0.00013315,851.64,1.032e+05,0,0
850.88,1.04e+05,-850.88,300.51,0.2545,0.00014931,850.88,1.04e+05,0,0
850.12,1.048e+05,-850.12,300.51,0.25644,0.00016547,850.12,1.048e+05,0,0
849.36,1.056e+05,-849.36,300.51,0.25839,0.00018163,849.36,1.056e+05,0,0
848.6,1.064e+05,-848.6,300.51,0.26033,0.00019779,848.6,1.064e+05,0,0
847.84,1.072e+05,-847.84,300.51,0.26228,0.00021395,847.84,1.072e+05,0,0
847.08,1.08e+05,-847.08,300.51,0.26423,0.00023012,847.08,1.08e+05,0,0
846.31,1.088e+05,-846.31,300.51,0.26617,0.00024628,846.31,1.088e+05,0,0
845.55,1.096e+05,-845.55,300.51,0.26812,0.00026244,845.55,1.096e+05,0,0
844.75,1.104e+05,-844.75,300.51,0.27007,0.00027161,844.75,1.104e+05,0,0
843.92,1.112e+05,-843.92,300.51,0.27205,0.00027378,843.92,1.112e+05,0,0
843.09,1.12e+05,-843.09,300.51,0.27402,0.00027595,843.09,1.12e+05,0,0
842.25,1.128e+05,-842.25,300.51,0.276,0.00027811,842.25,1.128e+05,0,0
841.42,1.136e+05,-841.42,300.51,0.27797,0.00028028,841.42,1.136e+05,0,0
840.59,1.144e+05,-840.59,300.51,0.27994,0.00028245,840.59,1.144e+05,0,0
839.75,1.152e+05,-839.75,300.51,0.28192,0.00028462,839.75,1.152e+05,0,0
838.92,1.16e+05,-838.92,300.51,0.28389,0.00028679,838.92,1.16e+05,0,0
838.09,1.168e+05,-838.09,300.51,0.28586,0.00028896,838.09,1.168e+05,0,0
837.25,1.176e+05,-837.25,300.51,0.28784,0.00029113,837.25,1.176e+05,0,0
836.42,1.184e+05,-836.42,300.51,0.28981,0.0002933,836.42,1.184e+05,0,0
835.58,1.192e+05,-835.58,300.51,0.29178,0.00029547,835.58,1.192e+05,0,0
