"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,300.51,1.23e-05,2.3399e-05,900,0,0,0
899.95,1131.4,-899.95,300.51,0.0019681,-0.0019263,899.95,800,-800,0
899.89,2262.7,-899.89,300.51,0.0039239,-0.003876,899.89,1600,-1600,0
899.84,3394.1,-899.84,300.5,0.0058797,-0.0058257,899.84,2400,-2400,0
899.79,4525.5,-899.79,300.5,0.0078356,-0.0077754,899.79,3200,-3200,0
899.74,5656.9,-899.74,300.5,0.0097914,-0.0097251,899.74,4000,-4000,0
899.68,6788.2,-899.68,300.5,0.011747,-0.011675,899.68,4800,-4800,0
899.63,7919.6,-899.63,300.5,0.013703,-0.013624,899.63,5600,-5600,0
899.58,9051,-899.58,300.5,0.015659,-0.015574,899.58,6400,-6400,0
899.53,10182,-899.53,300.5,0.017615,-0.017524,899.53,7200,-7200,0
899.38,11422,-899.38,300.5,0.019593,-0.019518,899.38,8000,-8000,0
899.23,12670,-899.23,300.5,0.021573,-0.021515,899.23,8800,-8800,0
899.08,13918,-899.08,300.5,0.023553,-0.023512,899.08,9600,-9600,0
898.92,15166,-898.92,300.5,0.025533,-0.025509,898.92,10400,-10400,0
898.77,16414,-898.77,300.5,0.027513,-0.027506,898.77,11200,-11200,0
898.6,17471,-898.6,300.5,0.029501,-0.029483,898.6,12000,-12000,0
898.44,18476,-898.44,300.5,0.03149,-0.031454,898.44,12800,-12800,0
898.27,19481,-898.27,300.49,0.033479,-0.033425,898.27,13600,-13600,0
898.06,20541,-898.06,300.49,0.035434,-0.035405,898.06,14400,-14400,0
897.83,21634,-897.83,300.5,0.037367,-0.037392,897.83,15200,-15200,0
897.61,22727,-897.61,300.5,0.0393,-0.039379,897.61,16000,-16000,0
897.38,23819,-897.38,300.5,0.041233,-0.041366,897.38,16800,-16800,0
897.12,25041,-897.12,300.5,0.043165,-0.04336,897.12,17600,-17600,0
896.86,26268,-896.86,300.51,0.045097,-0.045354,896.86,18400,-18400,0
896.57,27411,-896.57,300.51,0.047033,-0.047296,896.57,19200,-19200,0
896.28,28484,-896.28,300.51,0.048971,-0.049194,896.28,20000,-20000,0
895.96,29600,-895.96,300.51,0.050908,-0.051118,895.96,20800,-20800,0
895.62,30741,-895.62,300.51,0.052844,-0.05306,895.62,21600,-21600,0
895.29,31883,-895.29,300.51,0.05478,-0.055001,895.29,22400,-22400,0
894.95,33025,-894.95,300.51,0.056716,-0.056943,894.95,23200,-23200,0
894.61,34167,-894.61,300.51,0.058651,-0.058884,894.61,24000,-24000,0
894.28,35309,-894.28,300.51,0.060587,-0.060826,894.28,24800,-24800,0
893.94,36451,-893.94,300.51,0.062523,-0.062767,893.94,25600,-25600,0
893.59,37582,-893.59,300.51,0.064467,-0.064712,893.59,26400,-26400,0
893.18,38677,-893.18,300.51,0.066437,-0.066666,893.18,27200,-27200,0
892.78,39772,-892.78,300.51,0.068407,-0.068621,892.78,28000,-28000,0
892.38,40871,-892.38,300.51,0.070377,-0.070574,892.38,28800,-28800,0
891.93,42026,-891.93,300.51,0.072338,-0.072518,891.93,29600,-29600,0
891.48,43181,-891.48,300.51,0.074298,-0.074462,891.48,30400,-30400,0
891.03,44336,-891.03,300.51,0.076259,-0.076406,891.03,31200,-31200,0
890.58,45491,-890.58,300.51,0.07822,-0.07835,890.58,32000,-32000,0
890.13,46642,-890.13,300.51,0.080181,-0.080294,890.13,32800,-32800,0
889.62,47746,-889.62,300.51,0.082142,-0.082246,889.62,33600,-33600,0
889.12,48851,-889.12,300.51,0.084104,-0.084199,889.12,34400,-34400,0
888.61,49955,-888.61,300.51,0.086065,-0.086151,888.61,35200,-35200,0
888.11,51059,-888.11,300.51,0.088026,-0.088103,888.11,36000,-36000,0
887.6,52163,-887.6,300.51,0.089987,-0.090056,887.6,36800,-36800,0
887.1,53267,-887.1,300.51,0.091948,-0.092008,887.1,37600,-37600,0
886.56,54401,-886.56,300.51,0.093912,-0.093963,886.56,38400,-38400,0
886.01,55546,-886.01,300.51,0.095876,-0.09592,886.01,39200,-39200,0
885.41,56657,-885.41,300.51,0.097837,-0.097879,885.41,40000,-40000,0
884.8,57768,-884.8,300.51,0.099798,-0.099837,884.8,40800,-40800,0
884.19,58879,-884.19,300.51,0.10176,-0.1018,884.19,41600,-41600,0
883.59,59990,-883.59,300.51,0.10372,-0.10375,883.59,42400,-42400,0
882.98,61115,-882.98,300.51,0.10568,-0.10571,882.98,43200,-43200,0
882.36,62265,-882.36,300.51,0.10764,-0.10767,882.36,44000,-44000,0
