"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1337.1,-1.5134e-05,0.00048275,900,0,0,0
899.99,1139.6,-899.99,1337,-0.089203,0.089664,899.99,-800,800,0
899.98,2289.5,-899.98,1336.8,-0.1784,0.17885,899.98,-1600,1600,0
899.95,3395.9,-899.95,1336.6,-0.26765,0.26807,899.95,-2400,2400,0
899.91,4537.6,-899.91,1336.2,-0.35695,0.35737,899.91,-3200,3200,0
899.85,5670.9,-899.85,1335.7,-0.44636,0.44676,899.85,-4000,4000,0
899.79,6793,-899.79,1335.1,-0.53585,0.53625,899.79,-4800,4800,0
899.71,7930.5,-899.71,1334.4,-0.62548,0.62587,899.71,-5600,5600,0
899.63,9061.8,-899.63,1333.6,-0.71526,0.71564,899.63,-6400,6400,0
899.53,10186,-899.53,1332.7,-0.80518,0.80556,899.53,-7200,7200,0
899.42,11321,-899.42,1331.8,-0.89524,0.89562,899.42,-8000,8000,0
899.3,12454,-899.3,1330.9,-0.98543,0.9858,899.3,-8800,8800,0
899.16,13579,-899.16,1330,-1.0758,1.0761,899.16,-9600,9600,0
899.02,14712,-899.02,1329,-1.1663,1.1666,899.02,-10400,10400,0
898.86,15844,-898.86,1328.1,-1.2569,1.2572,898.86,-11200,11200,0
898.69,16972,-898.69,1327.1,-1.3476,1.348,898.69,-12000,12000,0
898.51,18105,-898.51,1326.1,-1.4386,1.4389,898.51,-12800,12800,0
898.32,19237,-898.32,1325,-1.5297,1.53,898.32,-13600,13600,0
898.12,20365,-898.12,1324,-1.6209,1.6212,898.12,-14400,14400,0
897.91,21500,-897.91,1323,-1.7123,1.7126,897.91,-15200,15200,0
897.68,22631,-897.68,1321.9,-1.8039,1.8042,897.68,-16000,16000,0
897.44,23759,-897.44,1320.8,-1.8956,1.8959,897.44,-16800,16800,0
897.19,24894,-897.19,1319.7,-1.9875,1.9878,897.19,-17600,17600,0
896.93,26025,-896.93,1318.6,-2.0795,2.0798,896.93,-18400,18400,0
896.66,27153,-896.66,1317.5,-2.1717,2.172,896.66,-19200,19200,0
896.37,28287,-896.37,1316.4,-2.2641,2.2644,896.37,-20000,20000,0
896.08,29419,-896.08,1315.3,-2.3567,2.357,896.08,-20800,20800,0
895.77,30547,-895.77,1314.2,-2.4494,2.4497,895.77,-21600,21600,0
895.45,31680,-895.45,1313,-2.5423,2.5426,895.45,-22400,22400,0
895.12,32812,-895.12,1311.9,-2.6354,2.6357,895.12,-23200,23200,0
894.78,33941,-894.78,1310.7,-2.7286,2.7289,894.78,-24000,24000,0
894.43,35075,-894.43,1309.6,-2.8221,2.8224,894.43,-24800,24800,0
894.06,36206,-894.06,1308.4,-2.9157,2.916,894.06,-25600,25600,0
