"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1336.6,7.1567e-06,0.0006488,900,0,0,0
899.99,800,-899.99,1336.5,6.2507e-06,0.089953,899.99,0,800,0
899.99,1600,-899.99,1336.4,5.3446e-06,0.17926,899.99,0,1600,0
899.97,2400,-899.97,1336.3,3.8163e-06,0.2686,899.97,0,2400,0
899.95,3200,-899.95,1336.1,1.6658e-06,0.35797,899.95,0,3200,0
899.93,4000,-899.93,1335.9,-4.8478e-07,0.44735,899.93,0,4000,0
899.89,4800,-899.89,1335.6,-8.8347e-06,0.53684,899.89,0,4800,0
899.86,5600,-899.86,1335.2,-1.7185e-05,0.62633,899.86,0,5600,0
899.81,6400,-899.81,1334.8,-2.4686e-05,0.71594,899.81,0,6400,0
899.76,7200,-899.76,1334.4,-3.1339e-05,0.80568,899.76,0,7200,0
899.71,8000,-899.71,1333.9,-3.7993e-05,0.89542,899.71,0,8000,0
899.64,8800,-899.64,1333.3,-9.7629e-06,0.98539,899.64,0,8800,0
899.58,9600,-899.58,1332.7,1.8467e-05,1.0754,899.58,0,9600,0
899.51,10400,-899.51,1332.1,3.0687e-05,1.1654,899.51,0,10400,0
899.43,11200,-899.43,1331.4,2.6899e-05,1.2557,899.43,0,11200,0
899.35,12000,-899.35,1330.8,2.311e-05,1.3459,899.35,0,12000,0
899.25,12800,-899.25,1330.1,8.4918e-06,1.4363,899.25,0,12800,0
899.16,13600,-899.16,1329.5,-6.1263e-06,1.5268,899.16,0,13600,0
899.06,14400,-899.06,1328.8,-1.1791e-05,1.6174,899.06,0,14400,0
898.95,15200,-898.95,1328.1,-8.5011e-06,1.7081,898.95,0,15200,0
898.84,16000,-898.84,1327.4,-5.2116e-06,1.7988,898.84,0,16000,0
898.72,16800,-898.72,1326.7,-1.2342e-05,1.8898,898.72,0,16800,0
898.59,17600,-898.59,1326,-1.9472e-05,1.9807,898.59,0,17600,0
898.46,18400,-898.46,1325.3,-1.6264e-05,2.0719,898.46,0,18400,0
898.33,19200,-898.33,1324.6,-2.7184e-06,2.1632,898.33,0,19200,0
898.19,20000,-898.19,1323.8,1.0827e-05,2.2544,898.19,0,20000,0
898.04,20800,-898.04,1323.1,1.6516e-05,2.346,898.04,0,20800,0
897.88,21600,-897.88,1322.3,2.2205e-05,2.4375,897.88,0,21600,0
897.72,22400,-897.72,1321.6,1.535e-05,2.5292,897.72,0,22400,0
897.56,23200,-897.56,1320.8,-4.0474e-06,2.621,897.56,0,23200,0
897.39,24000,-897.39,1320.1,-2.3445e-05,2.7128,897.39,0,24000,0
897.21,24800,-897.21,1319.3,-1.0598e-05,2.8049,897.21,0,24800,0
897.03,25600,-897.03,1318.5,2.2492e-06,2.8971,897.03,0,25600,0
896.84,26400,-896.84,1317.7,6.8183e-06,2.9893,896.84,0,26400,0
896.64,27200,-896.64,1317,3.1093e-06,3.0818,896.64,0,27200,0
896.45,28000,-896.45,1316.2,-5.9962e-07,3.1742,896.45,0,28000,0
896.24,28800,-896.24,1315.4,-9.0656e-06,3.2669,896.24,0,28800,0
896.03,29600,-896.03,1314.6,-1.7531e-05,3.3596,896.03,0,29600,0
895.81,30400,-895.81,1313.8,-2.0271e-05,3.4525,895.81,0,30400,0
895.58,31200,-895.58,1313,-1.7283e-05,3.5455,895.58,0,31200,0
895.36,32000,-895.36,1312.2,-1.4295e-05,3.6385,895.36,0,32000,0
895.12,32800,-895.12,1311.4,-9.4158e-06,3.7319,895.12,0,32800,0
894.88,33600,-894.88,1310.5,-4.5364e-06,3.8252,894.88,0,33600,0
894.63,34400,-894.63,1309.7,-2.7366e-06,3.9187,894.63,0,34400,0
894.38,35200,-894.38,1308.9,-4.0161e-06,4.0124,894.38,0,35200,0
894.13,36000,-894.13,1308.1,-5.2957e-06,4.106,894.13,0,36000,0
893.86,36800,-893.86,1307.2,-6.6327e-06,4.2,893.86,0,36800,0
893.59,37600,-893.59,1306.4,-7.9698e-06,4.294,893.59,0,37600,0
893.32,38400,-893.32,1305.6,-7.1041e-06,4.3881,893.32,0,38400,0
893.03,39200,-893.03,1304.7,-4.0356e-06,4.4824,893.03,0,39200,0
892.75,40000,-892.75,1303.9,-9.6708e-07,4.5767,892.75,0,40000,0
892.45,40800,-892.45,1303.1,-1.5643e-05,4.6713,892.45,0,40800,0
892.16,41600,-892.16,1302.2,-3.0318e-05,4.7659,892.16,0,41600,0
891.85,42400,-891.85,1301.4,-3.5804e-05,4.8607,891.85,0,42400,0
891.54,43200,-891.54,1300.5,-3.21e-05,4.9557,891.54,0,43200,0
891.23,44000,-891.23,1299.7,-2.8396e-05,5.0506,891.23,0,44000,0
890.9,44800,-890.9,1298.8,-2.2217e-05,5.1459,890.9,0,44800,0
890.58,45600,-890.58,1297.9,-1.6039e-05,5.2412,890.58,0,45600,0
890.24,46400,-890.24,1297.1,-1.8221e-05,5.3366,890.24,0,46400,0
889.9,47200,-889.9,1296.2,-2.8764e-05,5.4323,889.9,0,47200,0
889.56,48000,-889.56,1295.4,-3.9308e-05,5.5279,889.56,0,48000,0
889.2,48800,-889.2,1294.5,-3.3007e-05,5.6238,889.2,0,48800,0
