"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1336.6,7.1567e-06,0.0006488,900,0,0,0
899.99,1131.4,-899.99,1336.5,-0.089335,-0.088684,899.99,-800,-800,0
899.98,2280.3,-899.98,1336.3,-0.17868,-0.17802,899.98,-1600,-1600,0
899.94,3514.7,-899.94,1336,-0.26807,-0.26736,899.94,-2400,-2400,0
899.9,4587,-899.9,1335.7,-0.3575,-0.35677,899.9,-3200,-3200,0
899.85,5692.2,-899.85,1335.2,-0.44704,-0.4463,899.85,-4000,-4000,0
899.79,6809,-899.79,1334.6,-0.53666,-0.53594,899.79,-4800,-4800,0
899.71,7945.4,-899.71,1333.9,-0.62646,-0.62571,899.71,-5600,-5600,0
899.63,9087.4,-899.63,1333.1,-0.71639,-0.71552,899.63,-6400,-6400,0
899.52,10216,-899.52,1332.2,-0.80642,-0.80567,899.52,-7200,-7200,0
899.41,11344,-899.41,1331.3,-0.89663,-0.89588,899.41,-8000,-8000,0
899.3,12468,-899.3,1330.4,-0.98699,-0.98609,899.3,-8800,-8800,0
899.16,13582,-899.16,1329.5,-1.0775,-1.0766,899.16,-9600,-9600,0
899.02,14717,-899.02,1328.5,-1.168,-1.1673,899.02,-10400,-10400,0
898.86,15863,-898.86,1327.5,-1.2589,-1.258,898.86,-11200,-11200,0
898.69,16986,-898.69,1326.5,-1.3498,-1.349,898.69,-12000,-12000,0
898.51,18124,-898.51,1325.5,-1.4408,-1.44,898.51,-12800,-12800,0
898.32,19242,-898.32,1324.5,-1.532,-1.5312,898.32,-13600,-13600,0
898.12,20367,-898.12,1323.5,-1.6235,-1.6226,898.12,-14400,-14400,0
897.9,21506,-897.9,1322.4,-1.7149,-1.7141,897.9,-15200,-15200,0
897.67,22642,-897.67,1321.4,-1.8067,-1.8058,897.67,-16000,-16000,0
897.44,23773,-897.44,1320.3,-1.8985,-1.8977,897.44,-16800,-16800,0
897.19,24906,-897.19,1319.2,-1.9906,-1.9897,897.19,-17600,-17600,0
896.93,26029,-896.93,1318.1,-2.0828,-2.0819,896.93,-18400,-18400,0
896.66,27154,-896.66,1317,-2.1751,-2.1742,896.66,-19200,-19200,0
896.37,28293,-896.37,1315.9,-2.2677,-2.2667,896.37,-20000,-20000,0
896.07,29425,-896.07,1314.8,-2.3603,-2.3595,896.07,-20800,-20800,0
895.77,30561,-895.77,1313.6,-2.4532,-2.4523,895.77,-21600,-21600,0
895.45,31686,-895.45,1312.5,-2.5463,-2.5453,895.45,-22400,-22400,0
895.12,32817,-895.12,1311.3,-2.6395,-2.6386,895.12,-23200,-23200,0
894.78,33942,-894.78,1310.2,-2.7328,-2.7319,894.78,-24000,-24000,0
894.42,35079,-894.42,1309,-2.8265,-2.8255,894.42,-24800,-24800,0
894.06,36212,-894.06,1307.9,-2.9202,-2.9193,894.06,-25600,-25600,0
893.68,37346,-893.68,1306.7,-3.0142,-3.0132,893.68,-26400,-26400,0
893.29,38474,-893.29,1305.5,-3.1083,-3.1073,893.29,-27200,-27200,0
892.89,39604,-892.89,1304.3,-3.2026,-3.2016,892.89,-28000,-28000,0
892.48,40731,-892.48,1303.1,-3.2971,-3.2961,892.48,-28800,-28800,0
892.05,41866,-892.05,1301.9,-3.3918,-3.3908,892.05,-29600,-29600,0
891.62,43002,-891.62,1300.7,-3.4866,-3.4856,891.62,-30400,-30400,0
891.17,44131,-891.17,1299.5,-3.5817,-3.5807,891.17,-31200,-31200,0
890.71,45262,-890.71,1298.3,-3.6769,-3.6759,890.71,-32000,-32000,0
890.25,46390,-890.25,1297.1,-3.7723,-3.7713,890.25,-32800,-32800,0
889.76,47519,-889.76,1295.9,-3.868,-3.8669,889.76,-33600,-33600,0
889.27,48653,-889.27,1294.7,-3.9637,-3.9627,889.27,-34400,-34400,0
888.77,49788,-888.77,1293.4,-4.0598,-4.0587,888.77,-35200,-35200,0
888.25,50917,-888.25,1292.2,-4.1559,-4.1549,888.25,-36000,-36000,0
887.72,52050,-887.72,1291,-4.2523,-4.2512,887.72,-36800,-36800,0
887.18,53177,-887.18,1289.7,-4.3489,-4.3478,887.18,-37600,-37600,0
886.63,54307,-886.63,1288.5,-4.4457,-4.4446,886.63,-38400,-38400,0
886.07,55443,-886.07,1287.2,-4.5427,-4.5415,886.07,-39200,-39200,0
885.49,56574,-885.49,1286,-4.6398,-4.6387,885.49,-40000,-40000,0
884.91,57707,-884.91,1284.7,-4.7372,-4.7361,884.91,-40800,-40800,0
