"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1336.6,7.1567e-06,0.0006488,900,0,0,0
899.99,800,-899.99,1336.5,-0.089302,0.00064887,899.99,-800,0,0
899.99,1600,-899.99,1336.4,-0.17861,0.00064895,899.99,-1600,0,0
899.97,2400,-899.97,1336.3,-0.26796,0.00064115,899.97,-2400,0,0
899.95,3200,-899.95,1336.1,-0.35736,0.00062549,899.95,-3200,0,0
899.93,4000,-899.93,1335.9,-0.44676,0.00060982,899.93,-4000,0,0
899.89,4800,-899.89,1335.6,-0.5363,0.00060203,899.89,-4800,0,0
899.86,5600,-899.86,1335.2,-0.62585,0.00059424,899.86,-5600,0,0
899.81,6400,-899.81,1334.8,-0.71548,0.00059011,899.81,-6400,0,0
899.76,7200,-899.76,1334.4,-0.80521,0.00058966,899.76,-7200,0,0
899.71,8000,-899.71,1333.9,-0.89494,0.00058922,899.71,-8000,0,0
899.64,8800,-899.64,1333.3,-0.98493,0.00061837,899.64,-8800,0,0
899.58,9600,-899.58,1332.7,-1.0749,0.00064752,899.58,-9600,0,0
899.51,10400,-899.51,1332.1,-1.165,0.00064791,899.51,-10400,0,0
899.43,11200,-899.43,1331.5,-1.2552,0.00061952,899.43,-11200,0,0
899.35,12000,-899.35,1330.8,-1.3454,0.00059114,899.35,-12000,0,0
899.25,12800,-899.25,1330.2,-1.4359,0.00060803,899.25,-12800,0,0
899.16,13600,-899.16,1329.5,-1.5264,0.00062491,899.16,-13600,0,0
899.06,14400,-899.06,1328.8,-1.617,0.00062464,899.06,-14400,0,0
898.95,15200,-898.95,1328.1,-1.7078,0.00060721,898.95,-15200,0,0
898.84,16000,-898.84,1327.4,-1.7985,0.00058978,898.84,-16000,0,0
898.72,16800,-898.72,1326.7,-1.8895,0.00058534,898.72,-16800,0,0
898.59,17600,-898.59,1326,-1.9805,0.0005809,898.59,-17600,0,0
898.46,18400,-898.46,1325.3,-2.0716,0.00057958,898.46,-18400,0,0
898.33,19200,-898.33,1324.6,-2.1629,0.00058139,898.33,-19200,0,0
898.19,20000,-898.19,1323.8,-2.2542,0.00058319,898.19,-20000,0,0
898.04,20800,-898.04,1323.1,-2.3457,0.00058814,898.04,-20800,0,0
897.88,21600,-897.88,1322.3,-2.4373,0.0005931,897.88,-21600,0,0
897.72,22400,-897.72,1321.6,-2.5289,0.00059981,897.72,-22400,0,0
897.56,23200,-897.56,1320.8,-2.6208,0.00060826,897.56,-23200,0,0
897.39,24000,-897.39,1320.1,-2.7126,0.00061672,897.39,-24000,0,0
897.21,24800,-897.21,1319.3,-2.8047,0.00058592,897.21,-24800,0,0
897.03,25600,-897.03,1318.5,-2.8969,0.00055512,897.03,-25600,0,0
896.84,26400,-896.84,1317.8,-2.9891,0.00054906,896.84,-26400,0,0
896.64,27200,-896.64,1317,-3.0816,0.00056772,896.64,-27200,0,0
896.45,28000,-896.45,1316.2,-3.174,0.00058638,896.45,-28000,0,0
896.24,28800,-896.24,1315.4,-3.2667,0.00058946,896.24,-28800,0,0
896.03,29600,-896.03,1314.6,-3.3594,0.00059254,896.03,-29600,0,0
895.81,30400,-895.81,1313.8,-3.4523,0.00058617,895.81,-30400,0,0
895.58,31200,-895.58,1313,-3.5454,0.00057036,895.58,-31200,0,0
895.36,32000,-895.36,1312.2,-3.6384,0.00055455,895.36,-32000,0,0
895.12,32800,-895.12,1311.4,-3.7317,0.00054803,895.12,-32800,0,0
894.88,33600,-894.88,1310.6,-3.8251,0.00054152,894.88,-33600,0,0
894.63,34400,-894.63,1309.7,-3.9186,0.00054193,894.63,-34400,0,0
894.38,35200,-894.38,1308.9,-4.0122,0.00054926,894.38,-35200,0,0
894.13,36000,-894.13,1308.1,-4.1059,0.0005566,894.13,-36000,0,0
893.86,36800,-893.86,1307.3,-4.1999,0.00054646,893.86,-36800,0,0
893.59,37600,-893.59,1306.4,-4.2939,0.00053633,893.59,-37600,0,0
893.32,38400,-893.32,1305.6,-4.388,0.00053426,893.32,-38400,0,0
893.03,39200,-893.03,1304.7,-4.4823,0.00054026,893.03,-39200,0,0
892.75,40000,-892.75,1303.9,-4.5766,0.00054626,892.75,-40000,0,0
892.45,40800,-892.45,1303.1,-4.6712,0.00054545,892.45,-40800,0,0
892.16,41600,-892.16,1302.2,-4.7659,0.00054465,892.16,-41600,0,0
891.85,42400,-891.85,1301.4,-4.8607,0.00054145,891.85,-42400,0,0
891.54,43200,-891.54,1300.5,-4.9556,0.00053588,891.54,-43200,0,0
891.23,44000,-891.23,1299.7,-5.0506,0.00053031,891.23,-44000,0,0
890.9,44800,-890.9,1298.8,-5.1459,0.00052419,890.9,-44800,0,0
890.58,45600,-890.58,1297.9,-5.2411,0.00051807,890.58,-45600,0,0
890.24,46400,-890.24,1297.1,-5.3366,0.00051361,890.24,-46400,0,0
889.9,47200,-889.9,1296.2,-5.4322,0.00051079,889.9,-47200,0,0
889.56,48000,-889.56,1295.4,-5.5279,0.00050796,889.56,-48000,0,0
889.2,48800,-889.2,1294.5,-5.6238,0.00049991,889.2,-48800,0,0
888.85,49600,-888.85,1293.6,-5.7198,0.00049185,888.85,-49600,0,0
888.49,50400,-888.49,1292.8,-5.8159,0.00049119,888.49,-50400,0,0
888.12,51200,-888.12,1291.9,-5.9122,0.00049792,888.12,-51200,0,0
887.75,52000,-887.75,1291,-6.0086,0.00050464,887.75,-52000,0,0
887.36,52800,-887.36,1290.1,-6.1052,0.0004993,887.36,-52800,0,0
886.98,53600,-886.98,1289.3,-6.2019,0.00049395,886.98,-53600,0,0
886.59,54400,-886.59,1288.4,-6.2987,0.00049108,886.59,-54400,0,0
886.19,55200,-886.19,1287.5,-6.3957,0.00049068,886.19,-55200,0,0
885.79,56000,-885.79,1286.6,-6.4927,0.00049028,885.79,-56000,0,0
885.38,56800,-885.38,1285.7,-6.59,0.00048496,885.38,-56800,0,0
884.96,57600,-884.96,1284.8,-6.6874,0.00047964,884.96,-57600,0,0
884.54,58400,-884.54,1284,-6.7849,0.00047829,884.54,-58400,0,0
884.12,59200,-884.12,1283.1,-6.8826,0.0004809,884.12,-59200,0,0
883.69,60000,-883.69,1282.2,-6.9803,0.00048351,883.69,-60000,0,0
883.25,60800,-883.25,1281.3,-7.0784,0.00047917,883.25,-60800,0,0
882.8,61600,-882.8,1280.4,-7.1764,0.00047483,882.8,-61600,0,0
882.35,62400,-882.35,1279.5,-7.2747,0.00046986,882.35,-62400,0,0
881.9,63200,-881.9,1278.6,-7.3731,0.00046425,881.9,-63200,0,0
881.44,64000,-881.44,1277.7,-7.4715,0.00045865,881.44,-64000,0,0
880.97,64800,-880.97,1276.8,-7.5702,0.00045623,880.97,-64800,0,0
880.5,65600,-880.5,1275.9,-7.669,0.00045381,880.5,-65600,0,0
880.02,66400,-880.02,1275,-7.768,0.00045289,880.02,-66400,0,0
879.53,67200,-879.53,1274.1,-7.8671,0.00045348,879.53,-67200,0,0
879.05,68000,-879.05,1273.2,-7.9662,0.00045407,879.05,-68000,0,0
878.55,68800,-878.55,1272.3,-8.0657,0.00045004,878.55,-68800,0,0
878.05,69600,-878.05,1271.4,-8.1652,0.00044601,878.05,-69600,0,0
877.54,70400,-877.54,1270.5,-8.2649,0.0004427,877.54,-70400,0,0
877.02,71200,-877.02,1269.6,-8.3648,0.00044011,877.02,-71200,0,0
876.51,72000,-876.51,1268.7,-8.4646,0.00043752,876.51,-72000,0,0
875.98,72800,-875.98,1267.8,-8.5649,0.00043618,875.98,-72800,0,0
875.45,73600,-875.45,1266.9,-8.6651,0.00043483,875.45,-73600,0,0
874.92,74400,-874.92,1266,-8.7655,0.00043315,874.92,-74400,0,0
874.37,75200,-874.37,1265.1,-8.8661,0.00043113,874.37,-75200,0,0
873.83,76000,-873.83,1264.1,-8.9667,0.00042912,873.83,-76000,0,0
873.27,76800,-873.27,1263.2,-9.0677,0.00042686,873.27,-76800,0,0
872.71,77600,-872.71,1262.3,-9.1687,0.0004246,872.71,-77600,0,0
872.15,78400,-872.15,1261.4,-9.2698,0.00042026,872.15,-78400,0,0
871.57,79200,-871.57,1260.5,-9.3712,0.00041385,871.57,-79200,0,0
871,80000,-871,1259.6,-9.4725,0.00040744,871,-80000,0,0
