"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
900,0,-900,1333.3,-0.0034514,0.0013916,900,0,0,0
899.98,800,-899.98,1333.1,-0.0035473,-0.0879,899.98,0,-800,0
899.96,1600,-899.96,1332.9,-0.0036431,-0.17719,899.96,0,-1600,0
899.95,2400,-899.95,1332.7,-0.003739,-0.26648,899.95,0,-2400,0
899.93,3200,-899.93,1332.5,-0.0038349,-0.35578,899.93,0,-3200,0
899.91,4000,-899.91,1332.3,-0.0039307,-0.44507,899.91,0,-4000,0
899.89,4800,-899.89,1332.1,-0.0040266,-0.53436,899.89,0,-4800,0
899.85,5600,-899.85,1331.7,-0.0038993,-0.62388,899.85,0,-5600,0
899.79,6400,-899.79,1331.2,-0.0036976,-0.71348,899.79,0,-6400,0
899.74,7200,-899.74,1330.8,-0.003496,-0.80307,899.74,0,-7200,0
899.68,8000,-899.68,1330.3,-0.0032943,-0.89267,899.68,0,-8000,0
899.63,8800,-899.63,1329.8,-0.0030926,-0.98227,899.63,0,-8800,0
899.57,9600,-899.57,1329.4,-0.0028909,-1.0719,899.57,0,-9600,0
899.5,10400,-899.5,1328.8,-0.0028827,-1.1619,899.5,0,-10400,0
899.41,11200,-899.41,1328.1,-0.003068,-1.2524,899.41,0,-11200,0
899.32,12000,-899.32,1327.4,-0.0032532,-1.3429,899.32,0,-12000,0
899.23,12800,-899.23,1326.7,-0.0034384,-1.4334,899.23,0,-12800,0
899.14,13600,-899.14,1325.9,-0.0036237,-1.5239,899.14,0,-13600,0
899.05,14400,-899.05,1325.2,-0.0038089,-1.6144,899.05,0,-14400,0
898.95,15200,-898.95,1324.5,-0.0039376,-1.705,898.95,0,-15200,0
898.82,16000,-898.82,1323.8,-0.0038966,-1.7962,898.82,0,-16000,0
898.69,16800,-898.69,1323.1,-0.0038556,-1.8873,898.69,0,-16800,0
898.57,17600,-898.57,1322.4,-0.0038147,-1.9785,898.57,0,-17600,0
898.44,18400,-898.44,1321.7,-0.0037737,-2.0696,898.44,0,-18400,0
898.31,19200,-898.31,1321,-0.0037327,-2.1608,898.31,0,-19200,0
898.19,20000,-898.19,1320.3,-0.0036917,-2.252,898.19,0,-20000,0
898.02,20800,-898.02,1319.5,-0.0036004,-2.3436,898.02,0,-20800,0
897.86,21600,-897.86,1318.8,-0.003509,-2.4352,897.86,0,-21600,0
897.7,22400,-897.7,1318,-0.0034176,-2.5269,897.7,0,-22400,0
897.53,23200,-897.53,1317.2,-0.0033263,-2.6185,897.53,0,-23200,0
897.37,24000,-897.37,1316.5,-0.0032349,-2.7101,897.37,0,-24000,0
897.21,24800,-897.21,1315.7,-0.0031435,-2.8018,897.21,0,-24800,0
