"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-218.22,1.5e+05,218.22,1509.4,2.9547,0,-218.22,1.5e+05,0,0
-218.31,1.5002e+05,218.31,1509.1,3.0758,0.38927,-218.31,1.5e+05,740,0
-218.4,1.5005e+05,218.4,1508.8,3.1969,0.77853,-218.4,1.5e+05,1480,0
-218.49,1.5007e+05,218.49,1508.5,3.3181,1.1678,-218.49,1.5e+05,2220,0
-218.58,1.5009e+05,218.58,1508.1,3.4392,1.5571,-218.58,1.5e+05,2960,0
-218.67,1.5012e+05,218.67,1507.8,3.5603,1.9463,-218.67,1.5e+05,3700,0
-218.76,1.5014e+05,218.76,1507.5,3.6815,2.3356,-218.76,1.5e+05,4440,0
-218.85,1.5016e+05,218.85,1507.2,3.8026,2.7249,-218.85,1.5e+05,5180,0
-218.94,1.5019e+05,218.94,1506.9,3.9237,3.1141,-218.94,1.5e+05,5920,0
-219.03,1.5021e+05,219.03,1506.6,4.0449,3.5034,-219.03,1.5e+05,6660,0
-219.12,1.5024e+05,219.12,1506.3,4.166,3.8927,-219.12,1.5e+05,7400,0
-219.21,1.5026e+05,219.21,1506,4.2871,4.2819,-219.21,1.5e+05,8140,0
-219.31,1.5028e+05,219.31,1505.7,4.4083,4.6712,-219.31,1.5e+05,8880,0
-219.69,1.5031e+05,219.69,1505.6,4.5436,5.0685,-219.69,1.5e+05,9620,0
-222.14,1.5038e+05,222.14,1507.1,4.7767,5.5214,-222.14,1.5e+05,10360,0
-224.58,1.5046e+05,224.58,1508.5,5.0098,5.9743,-224.58,1.5e+05,11100,0
-227.03,1.5053e+05,227.03,1510,5.243,6.4272,-227.03,1.5e+05,11840,0
-229.47,1.506e+05,229.47,1511.5,5.4761,6.8801,-229.47,1.5e+05,12580,0
-231.92,1.5067e+05,231.92,1513,5.7092,7.333,-231.92,1.5e+05,13320,0
