"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-858.81,3.9e+05,858.81,1229.6,15.706,0,-858.81,3.9e+05,0,0
-860.67,3.902e+05,860.67,1231,15.584,0.36259,-860.67,3.902e+05,450,0
-862.54,3.904e+05,862.54,1232.5,15.462,0.72518,-862.54,3.904e+05,900,0
-864.39,3.906e+05,864.39,1233.9,15.361,1.087,-864.39,3.906e+05,1350,0
-866.18,3.908e+05,866.18,1235.3,15.263,1.4487,-866.18,3.908e+05,1800,0
-867.98,3.9101e+05,867.98,1236.6,15.184,1.811,-867.98,3.91e+05,2250,0
-869.77,3.9121e+05,869.77,1237.8,15.111,2.1735,-869.77,3.912e+05,2700,0
-871.46,3.9141e+05,871.46,1239,15.047,2.5355,-871.46,3.914e+05,3150,0
-873.14,3.9162e+05,873.14,1240.1,14.997,2.8967,-873.14,3.916e+05,3600,0
-874.82,3.9182e+05,874.82,1241.2,14.957,3.2576,-874.82,3.918e+05,4050,0
-876.5,3.9203e+05,876.5,1242.3,14.924,3.6183,-876.5,3.92e+05,4500,0
-878.12,3.9223e+05,878.12,1243.3,14.908,3.9776,-878.12,3.922e+05,4950,0
-879.68,3.9244e+05,879.68,1244.2,14.896,4.3365,-879.68,3.924e+05,5400,0
-881.25,3.9264e+05,881.25,1245.1,14.896,4.6947,-881.25,3.926e+05,5850,0
-882.82,3.9285e+05,882.82,1246,14.905,5.052,-882.82,3.928e+05,6300,0
-884.37,3.9306e+05,884.37,1246.8,14.923,5.409,-884.37,3.93e+05,6750,0
-885.83,3.9327e+05,885.83,1247.5,14.948,5.7647,-885.83,3.932e+05,7200,0
-887.29,3.9347e+05,887.29,1248.2,14.982,6.1194,-887.29,3.934e+05,7650,0
-888.76,3.9368e+05,888.76,1248.9,15.025,6.4738,-888.76,3.936e+05,8100,0
-890.23,3.9389e+05,890.23,1249.6,15.072,6.8279,-890.23,3.938e+05,8550,0
-891.62,3.941e+05,891.62,1250.1,15.13,7.1802,-891.62,3.94e+05,9000,0
-892.99,3.9431e+05,892.99,1250.7,15.192,7.5323,-892.99,3.942e+05,9450,0
-894.37,3.9452e+05,894.37,1251.2,15.26,7.8842,-894.37,3.944e+05,9900,0
-895.74,3.9474e+05,895.74,1251.7,15.336,8.2354,-895.74,3.946e+05,10350,0
-897.07,3.9495e+05,897.07,1252.1,15.415,8.5861,-897.07,3.948e+05,10800,0
-898.36,3.9516e+05,898.36,1252.5,15.5,8.9363,-898.36,3.95e+05,11250,0
-899.64,3.9537e+05,899.64,1252.9,15.589,9.2858,-899.64,3.952e+05,11700,0
-900.94,3.9559e+05,900.94,1253.2,15.685,9.6363,-900.94,3.954e+05,12150,0
-902.22,3.958e+05,902.22,1253.6,15.782,9.9864,-902.22,3.956e+05,12600,0
-903.43,3.9602e+05,903.43,1253.8,15.886,10.335,-903.43,3.958e+05,13050,0
-904.64,3.9623e+05,904.64,1254,15.992,10.685,-904.64,3.96e+05,13500,0
-905.86,3.9645e+05,905.86,1254.3,16.101,11.035,-905.86,3.962e+05,13950,0
-907.08,3.9666e+05,907.08,1254.5,16.214,11.386,-907.08,3.964e+05,14400,0
-908.23,3.9688e+05,908.23,1254.6,16.329,11.735,-908.23,3.966e+05,14850,0
-909.38,3.9709e+05,909.38,1254.7,16.448,12.086,-909.38,3.968e+05,15300,0
-910.51,3.9731e+05,910.51,1254.8,16.568,12.437,-910.51,3.97e+05,15750,0
-911.68,3.9753e+05,911.68,1254.9,16.692,12.79,-911.68,3.972e+05,16200,0
-912.8,3.9775e+05,912.8,1254.9,16.817,13.143,-912.8,3.974e+05,16650,0
-913.87,3.9797e+05,913.87,1254.9,16.944,13.495,-913.87,3.976e+05,17100,0
-914.95,3.9819e+05,914.95,1254.9,17.073,13.85,-914.95,3.978e+05,17550,0
-916.05,3.9841e+05,916.05,1254.9,17.204,14.205,-916.05,3.98e+05,18000,0
-917.14,3.9863e+05,917.14,1254.8,17.337,14.563,-917.14,3.982e+05,18450,0
-918.15,3.9885e+05,918.15,1254.7,17.47,14.919,-918.15,3.984e+05,18900,0
-919.19,3.9907e+05,919.19,1254.6,17.605,15.279,-919.19,3.986e+05,19350,0
-920.22,3.9929e+05,920.22,1254.5,17.741,15.638,-920.22,3.988e+05,19800,0
-921.28,3.9951e+05,921.28,1254.3,17.879,16.002,-921.28,3.99e+05,20250,0
-922.26,3.9974e+05,922.26,1254.2,18.017,16.365,-922.26,3.992e+05,20700,0
-923.23,3.9996e+05,923.23,1253.9,18.156,16.728,-923.23,3.994e+05,21150,0
-924.22,4.0018e+05,924.22,1253.7,18.296,17.096,-924.22,3.996e+05,21600,0
-925.22,4.0041e+05,925.22,1253.5,18.437,17.464,-925.22,3.998e+05,22050,0
-926.19,4.0063e+05,926.19,1253.2,18.579,17.836,-926.19,4e+05,22500,0
-927.12,4.0086e+05,927.12,1252.9,18.721,18.207,-927.12,4.002e+05,22950,0
-928.07,4.0108e+05,928.07,1252.6,18.864,18.583,-928.07,4.004e+05,23400,0
-929.02,4.0131e+05,929.02,1252.3,19.008,18.959,-929.02,4.006e+05,23850,0
-929.98,4.0154e+05,929.98,1252,19.153,19.339,-929.98,4.008e+05,24300,0
-930.88,4.0176e+05,930.88,1251.6,19.297,19.721,-930.88,4.01e+05,24750,0
-931.77,4.0199e+05,931.77,1251.3,19.442,20.103,-931.77,4.012e+05,25200,0
-932.7,4.0222e+05,932.7,1250.9,19.588,20.492,-932.7,4.014e+05,25650,0
-933.64,4.0245e+05,933.64,1250.5,19.735,20.881,-933.64,4.016e+05,26100,0
-934.5,4.0268e+05,934.5,1250.1,19.881,21.273,-934.5,4.018e+05,26550,0
-935.37,4.0291e+05,935.37,1249.6,20.028,21.667,-935.37,4.02e+05,27000,0
-936.26,4.0314e+05,936.26,1249.2,20.175,22.066,-936.26,4.022e+05,27450,0
-937.16,4.0337e+05,937.16,1248.7,20.324,22.467,-937.16,4.024e+05,27900,0
-938.03,4.036e+05,938.03,1248.2,20.472,22.87,-938.03,4.026e+05,28350,0
-938.88,4.0383e+05,938.88,1247.7,20.621,23.278,-938.88,4.028e+05,28800,0
-939.72,4.0406e+05,939.72,1247.2,20.77,23.686,-939.72,4.03e+05,29250,0
-940.61,4.0429e+05,940.61,1246.7,20.92,24.103,-940.61,4.032e+05,29700,0
-941.49,4.0453e+05,941.49,1246.2,21.071,24.52,-941.49,4.034e+05,30150,0
-942.29,4.0476e+05,942.29,1245.6,21.221,24.939,-942.29,4.036e+05,30600,0
-943.13,4.0499e+05,943.13,1245,21.372,25.364,-943.13,4.038e+05,31050,0
-943.98,4.0523e+05,943.98,1244.4,21.524,25.791,-943.98,4.04e+05,31500,0
-944.85,4.0546e+05,944.85,1243.8,21.678,26.225,-944.85,4.042e+05,31950,0
-945.64,4.057e+05,945.64,1243.2,21.83,26.657,-945.64,4.044e+05,32400,0
-946.47,4.0593e+05,946.47,1242.6,21.983,27.099,-946.47,4.046e+05,32850,0
-947.28,4.0617e+05,947.28,1241.9,22.138,27.54,-947.28,4.048e+05,33300,0
-948.15,4.064e+05,948.15,1241.3,22.294,27.99,-948.15,4.05e+05,33750,0
-948.96,4.0664e+05,948.96,1240.6,22.449,28.442,-948.96,4.052e+05,34200,0
-949.74,4.0688e+05,949.74,1239.9,22.605,28.894,-949.74,4.054e+05,34650,0
-950.57,4.0712e+05,950.57,1239.3,22.763,29.357,-950.57,4.056e+05,35100,0
-951.39,4.0735e+05,951.39,1238.6,22.921,29.82,-951.39,4.058e+05,35550,0
-952.23,4.0759e+05,952.23,1237.9,23.082,30.291,-952.23,4.06e+05,36000,0
-953,4.0783e+05,953,1237.1,23.24,30.762,-953,4.062e+05,36450,0
-953.81,4.0807e+05,953.81,1236.4,23.401,31.242,-953.81,4.064e+05,36900,0
-954.62,4.0831e+05,954.62,1235.7,23.564,31.723,-954.62,4.066e+05,37350,0
-955.47,4.0855e+05,955.47,1234.9,23.729,32.214,-955.47,4.068e+05,37800,0
-956.25,4.0879e+05,956.25,1234.2,23.892,32.706,-956.25,4.07e+05,38250,0
-957.02,4.0904e+05,957.02,1233.3,24.057,33.199,-957.02,4.072e+05,38700,0
-957.84,4.0928e+05,957.84,1232.6,24.225,33.706,-957.84,4.074e+05,39150,0
-958.67,4.0952e+05,958.67,1231.8,24.394,34.213,-958.67,4.076e+05,39600,0
-959.47,4.0976e+05,959.47,1231,24.564,34.727,-959.47,4.078e+05,40050,0
-960.25,4.1001e+05,960.25,1230.2,24.733,35.245,-960.25,4.08e+05,40500,0
-961.05,4.1025e+05,961.05,1229.3,24.906,35.77,-961.05,4.082e+05,40950,0
-961.87,4.1049e+05,961.87,1228.5,25.082,36.3,-961.87,4.084e+05,41400,0
-962.7,4.1074e+05,962.7,1227.7,25.258,36.837,-962.7,4.086e+05,41850,0
-963.48,4.1098e+05,963.48,1226.8,25.435,37.379,-963.48,4.088e+05,42300,0
-964.24,4.1123e+05,964.24,1225.9,25.613,37.92,-964.24,4.09e+05,42750,0
-965.09,4.1147e+05,965.09,1225,25.796,38.481,-965.09,4.092e+05,43200,0
-965.93,4.1172e+05,965.93,1224.2,25.981,39.041,-965.93,4.094e+05,43650,0
-966.7,4.1197e+05,966.7,1223.3,26.165,39.606,-966.7,4.096e+05,44100,0
