"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-858.81,3.9e+05,858.81,1120.5,18.013,5.2938,-858.81,3.9e+05,0,0
-860.34,3.9021e+05,860.34,1121,18.098,5.7364,-860.34,3.902e+05,450,0
-861.87,3.9041e+05,861.87,1121.5,18.184,6.179,-861.87,3.904e+05,900,0
-863.4,3.9062e+05,863.4,1122,18.27,6.6216,-863.4,3.906e+05,1350,0
-864.93,3.9082e+05,864.93,1122.5,18.355,7.0641,-864.93,3.908e+05,1800,0
-866.45,3.9103e+05,866.45,1122.9,18.441,7.5067,-866.45,3.91e+05,2250,0
-867.98,3.9123e+05,867.98,1123.4,18.527,7.9493,-867.98,3.912e+05,2700,0
-869.51,3.9144e+05,869.51,1123.9,18.612,8.3919,-869.51,3.914e+05,3150,0
-871.04,3.9164e+05,871.04,1124.4,18.698,8.8345,-871.04,3.916e+05,3600,0
-872.57,3.9185e+05,872.57,1124.8,18.784,9.2771,-872.57,3.918e+05,4050,0
-874.1,3.9205e+05,874.1,1125.3,18.869,9.7197,-874.1,3.92e+05,4500,0
-875.63,3.9226e+05,875.63,1125.8,18.955,10.162,-875.63,3.922e+05,4950,0
-877.16,3.9247e+05,877.16,1126.3,19.041,10.605,-877.16,3.924e+05,5400,0
-878.68,3.9267e+05,878.68,1126.8,19.126,11.048,-878.68,3.926e+05,5850,0
-880.21,3.9288e+05,880.21,1127.2,19.212,11.49,-880.21,3.928e+05,6300,0
-881.74,3.9308e+05,881.74,1127.7,19.298,11.933,-881.74,3.93e+05,6750,0
-883.27,3.9329e+05,883.27,1128.2,19.383,12.375,-883.27,3.932e+05,7200,0
-884.8,3.9349e+05,884.8,1128.7,19.469,12.818,-884.8,3.934e+05,7650,0
-886.33,3.937e+05,886.33,1129.1,19.555,13.26,-886.33,3.936e+05,8100,0
-887.86,3.939e+05,887.86,1129.6,19.64,13.703,-887.86,3.938e+05,8550,0
-889.39,3.9411e+05,889.39,1130.1,19.726,14.146,-889.39,3.94e+05,9000,0
-890.91,3.9431e+05,890.91,1130.6,19.812,14.588,-890.91,3.942e+05,9450,0
-892.9,3.9453e+05,892.9,1131.2,20.019,15.021,-892.9,3.944e+05,9900,0
-894.83,3.9475e+05,894.83,1131.7,20.238,15.462,-894.83,3.946e+05,10350,0
-895.85,3.9496e+05,895.85,1131.3,20.454,15.981,-895.85,3.948e+05,10800,0
-896.88,3.9518e+05,896.88,1131,20.67,16.5,-896.88,3.95e+05,11250,0
-897.9,3.9539e+05,897.9,1130.6,20.886,17.02,-897.9,3.952e+05,11700,0
-898.93,3.9561e+05,898.93,1130.2,21.102,17.539,-898.93,3.954e+05,12150,0
