"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-858.81,3.9e+05,858.81,1120.5,18.013,5.2938,-858.81,3.9e+05,0,0
-860.21,3.902e+05,860.21,1121.5,17.811,4.8353,-860.21,3.902e+05,-450,0
-861.61,3.9041e+05,861.61,1122.5,17.609,4.3769,-861.61,3.904e+05,-900,0
-863,3.9061e+05,863,1123.5,17.408,3.9185,-863,3.906e+05,-1350,0
-864.4,3.9082e+05,864.4,1124.5,17.206,3.4601,-864.4,3.908e+05,-1800,0
-865.8,3.9102e+05,865.8,1125.5,17.004,3.0016,-865.8,3.91e+05,-2250,0
-867.2,3.9122e+05,867.2,1126.5,16.803,2.5432,-867.2,3.912e+05,-2700,0
-868.59,3.9143e+05,868.59,1127.5,16.601,2.0848,-868.59,3.914e+05,-3150,0
-869.99,3.9163e+05,869.99,1128.5,16.4,1.6263,-869.99,3.916e+05,-3600,0
-871.39,3.9184e+05,871.39,1129.5,16.198,1.1679,-871.39,3.918e+05,-4050,0
-872.79,3.9204e+05,872.79,1130.5,15.996,0.70949,-872.79,3.92e+05,-4500,0
-874.18,3.9225e+05,874.18,1131.5,15.795,0.25107,-874.18,3.922e+05,-4950,0
-875.58,3.9245e+05,875.58,1132.5,15.593,-0.20736,-875.58,3.924e+05,-5400,0
-876.98,3.9265e+05,876.98,1133.6,15.391,-0.66579,-876.98,3.926e+05,-5850,0
-878.38,3.9286e+05,878.38,1134.6,15.19,-1.1242,-878.38,3.928e+05,-6300,0
-879.78,3.9306e+05,879.78,1135.6,14.988,-1.5826,-879.78,3.93e+05,-6750,0
-881.31,3.9327e+05,881.31,1136.6,14.839,-2.0407,-881.31,3.932e+05,-7200,0
-883.36,3.9348e+05,883.36,1137.8,14.89,-2.4975,-883.36,3.934e+05,-7650,0
-885.41,3.9369e+05,885.41,1139,14.942,-2.9543,-885.41,3.936e+05,-8100,0
-887.46,3.9391e+05,887.46,1140.2,14.993,-3.411,-887.46,3.938e+05,-8550,0
-889.51,3.9412e+05,889.51,1141.5,15.045,-3.8678,-889.51,3.94e+05,-9000,0
-891.56,3.9433e+05,891.56,1142.7,15.096,-4.3246,-891.56,3.942e+05,-9450,0
-893.61,3.9454e+05,893.61,1143.9,15.148,-4.7813,-893.61,3.944e+05,-9900,0
-895.05,3.9476e+05,895.05,1144.6,15.197,-5.2314,-895.05,3.946e+05,-10350,0
-895.63,3.9497e+05,895.63,1144.6,15.242,-5.6722,-895.63,3.948e+05,-10800,0
-896.22,3.9518e+05,896.22,1144.6,15.288,-6.1131,-896.22,3.95e+05,-11250,0
-896.81,3.9539e+05,896.81,1144.6,15.334,-6.5539,-896.81,3.952e+05,-11700,0
-897.4,3.956e+05,897.4,1144.7,15.379,-6.9948,-897.4,3.954e+05,-12150,0
-897.99,3.9582e+05,897.99,1144.7,15.425,-7.4356,-897.99,3.956e+05,-12600,0
