"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-218.22,1.5e+05,218.22,1502.7,-3.0211,-0.0046399,-218.22,-1.5e+05,0,0
-218.26,1.5002e+05,218.26,1502.6,-3.129,0.38404,-218.26,-1.5e+05,740,0
-218.31,1.5004e+05,218.31,1502.6,-3.2369,0.77273,-218.31,-1.5e+05,1480,0
-218.35,1.5006e+05,218.35,1502.5,-3.3448,1.1614,-218.35,-1.5e+05,2220,0
-218.39,1.5009e+05,218.39,1502.5,-3.4527,1.5501,-218.39,-1.5e+05,2960,0
-218.43,1.5011e+05,218.43,1502.4,-3.5606,1.9388,-218.43,-1.5e+05,3700,0
-218.48,1.5013e+05,218.48,1502.3,-3.6685,2.3275,-218.48,-1.5e+05,4440,0
-218.52,1.5015e+05,218.52,1502.3,-3.7764,2.7162,-218.52,-1.5e+05,5180,0
-218.56,1.5017e+05,218.56,1502.2,-3.8843,3.1048,-218.56,-1.5e+05,5920,0
-218.61,1.5019e+05,218.61,1502.1,-3.9922,3.4935,-218.61,-1.5e+05,6660,0
-218.65,1.5021e+05,218.65,1502.1,-4.1001,3.8822,-218.65,-1.5e+05,7400,0
-218.69,1.5024e+05,218.69,1502,-4.2079,4.2709,-218.69,-1.5e+05,8140,0
-219.41,1.5027e+05,219.41,1502.3,-4.3529,4.6764,-219.41,-1.5e+05,8880,0
-221.72,1.5033e+05,221.72,1503.4,-4.5855,5.1217,-221.72,-1.5e+05,9620,0
-224.02,1.504e+05,224.02,1504.4,-4.8181,5.5671,-224.02,-1.5e+05,10360,0
-226.33,1.5046e+05,226.33,1505.5,-5.0507,6.0124,-226.33,-1.5e+05,11100,0
-228.64,1.5052e+05,228.64,1506.6,-5.2834,6.4578,-228.64,-1.5e+05,11840,0
-230.95,1.5059e+05,230.95,1507.7,-5.516,6.9031,-230.95,-1.5e+05,12580,0
-233.26,1.5065e+05,233.26,1508.7,-5.7486,7.3484,-233.26,-1.5e+05,13320,0
-235.57,1.5072e+05,235.57,1509.8,-5.9812,7.7938,-235.57,-1.5e+05,14060,0
-237.88,1.5078e+05,237.88,1510.9,-6.2139,8.2391,-237.88,-1.5e+05,14800,0
-240.19,1.5084e+05,240.19,1511.9,-6.4465,8.6844,-240.19,-1.5e+05,15540,0
-242.5,1.5091e+05,242.5,1513,-6.6791,9.1298,-242.5,-1.5e+05,16280,0
-244.81,1.5097e+05,244.81,1514.1,-6.9117,9.5751,-244.81,-1.5e+05,17020,0
-246.65,1.5106e+05,246.65,1514.9,-7.1491,10.036,-246.65,-1.5e+05,17760,0
-248.18,1.5117e+05,248.18,1515.6,-7.3896,10.506,-248.18,-1.5e+05,18500,0
-249.71,1.5127e+05,249.71,1516.2,-7.6301,10.977,-249.71,-1.5e+05,19240,0
-251.24,1.5138e+05,251.24,1516.9,-7.8706,11.448,-251.24,-1.5e+05,19980,0
-252.77,1.5148e+05,252.77,1517.5,-8.1112,11.919,-252.77,-1.5e+05,20720,0
-254.29,1.5159e+05,254.29,1518.2,-8.3517,12.39,-254.29,-1.5e+05,21460,0
-255.82,1.5169e+05,255.82,1518.8,-8.5922,12.861,-255.82,-1.5e+05,22200,0
-257.35,1.518e+05,257.35,1519.5,-8.8328,13.332,-257.35,-1.5e+05,22940,0
-258.88,1.5191e+05,258.88,1520.1,-9.0733,13.802,-258.88,-1.5e+05,23680,0
-260.41,1.5201e+05,260.41,1520.8,-9.3138,14.273,-260.41,-1.5e+05,24420,0
-261.94,1.5212e+05,261.94,1521.4,-9.5544,14.744,-261.94,-1.5e+05,25160,0
-263.47,1.5222e+05,263.47,1522.1,-9.7949,15.215,-263.47,-1.5e+05,25900,0
-266,1.5237e+05,266,1523,-10.061,15.72,-266,-1.5e+05,26640,0
-268.65,1.5251e+05,268.65,1524.1,-10.331,16.229,-268.65,-1.5e+05,27380,0
-271.3,1.5266e+05,271.3,1525.1,-10.6,16.739,-271.3,-1.5e+05,28120,0
-273.95,1.5281e+05,273.95,1526.1,-10.87,17.248,-273.95,-1.5e+05,28860,0
-276.61,1.5295e+05,276.61,1527.1,-11.14,17.758,-276.61,-1.5e+05,29600,0
-279.26,1.531e+05,279.26,1528.1,-11.409,18.267,-279.26,-1.5e+05,30340,0
-281.91,1.5324e+05,281.91,1529.1,-11.679,18.776,-281.91,-1.5e+05,31080,0
-284.57,1.5339e+05,284.57,1530.1,-11.948,19.286,-284.57,-1.5e+05,31820,0
-287.22,1.5354e+05,287.22,1531.1,-12.218,19.795,-287.22,-1.5e+05,32560,0
-289.87,1.5368e+05,289.87,1532.2,-12.487,20.305,-289.87,-1.5e+05,33300,0
-292.52,1.5383e+05,292.52,1533.2,-12.757,20.814,-292.52,-1.5e+05,34040,0
-294.78,1.5398e+05,294.78,1533.9,-13.015,21.317,-294.78,-1.5e+05,34780,0
-295.31,1.5417e+05,295.31,1533.3,-13.22,21.792,-295.31,-1.5e+05,35520,0
-295.84,1.5436e+05,295.84,1532.6,-13.426,22.268,-295.84,-1.5e+05,36260,0
-296.37,1.5454e+05,296.37,1532,-13.632,22.743,-296.37,-1.5e+05,37000,0
-296.91,1.5473e+05,296.91,1531.4,-13.838,23.219,-296.91,-1.5e+05,37740,0
-297.44,1.5492e+05,297.44,1530.8,-14.044,23.694,-297.44,-1.5e+05,38480,0
-297.97,1.551e+05,297.97,1530.1,-14.25,24.17,-297.97,-1.5e+05,39220,0
-298.5,1.5529e+05,298.5,1529.5,-14.456,24.645,-298.5,-1.5e+05,39960,0
-299.03,1.5548e+05,299.03,1528.9,-14.661,25.121,-299.03,-1.5e+05,40700,0
-299.56,1.5566e+05,299.56,1528.3,-14.867,25.596,-299.56,-1.5e+05,41440,0
-300.1,1.5585e+05,300.1,1527.7,-15.073,26.072,-300.1,-1.5e+05,42180,0
-300.63,1.5604e+05,300.63,1527,-15.279,26.547,-300.63,-1.5e+05,42920,0
-301.37,1.5624e+05,301.37,1526.3,-15.487,27.028,-301.37,-1.5e+05,43660,0
-302.33,1.5646e+05,302.33,1525.4,-15.697,27.515,-302.33,-1.5e+05,44400,0
-303.28,1.5669e+05,303.28,1524.5,-15.907,28.002,-303.28,-1.5e+05,45140,0
-304.24,1.5691e+05,304.24,1523.6,-16.117,28.489,-304.24,-1.5e+05,45880,0
-305.2,1.5713e+05,305.2,1522.7,-16.327,28.976,-305.2,-1.5e+05,46620,0
-306.16,1.5736e+05,306.16,1521.9,-16.537,29.463,-306.16,-1.5e+05,47360,0
-307.12,1.5758e+05,307.12,1521,-16.747,29.95,-307.12,-1.5e+05,48100,0
-308.08,1.578e+05,308.08,1520.1,-16.957,30.437,-308.08,-1.5e+05,48840,0
-309.04,1.5803e+05,309.04,1519.2,-17.167,30.924,-309.04,-1.5e+05,49580,0
-309.99,1.5825e+05,309.99,1518.3,-17.376,31.411,-309.99,-1.5e+05,50320,0
-310.95,1.5847e+05,310.95,1517.4,-17.586,31.898,-310.95,-1.5e+05,51060,0
-311.91,1.587e+05,311.91,1516.5,-17.796,32.385,-311.91,-1.5e+05,51800,0
-311.02,1.5895e+05,311.02,1514.1,-17.946,32.81,-311.02,-1.5e+05,52540,0
-309.61,1.5921e+05,309.61,1511.1,-18.079,33.217,-309.61,-1.5e+05,53280,0
-308.2,1.5947e+05,308.2,1508.2,-18.212,33.624,-308.2,-1.5e+05,54020,0
-306.78,1.5973e+05,306.78,1505.2,-18.345,34.032,-306.78,-1.5e+05,54760,0
-305.37,1.5999e+05,305.37,1502.3,-18.478,34.439,-305.37,-1.5e+05,55500,0
-303.96,1.6025e+05,303.96,1499.3,-18.61,34.846,-303.96,-1.5e+05,56240,0
-302.55,1.6051e+05,302.55,1496.4,-18.743,35.253,-302.55,-1.5e+05,56980,0
-301.14,1.6077e+05,301.14,1493.5,-18.876,35.661,-301.14,-1.5e+05,57720,0
-299.73,1.6104e+05,299.73,1490.5,-19.009,36.068,-299.73,-1.5e+05,58460,0
-298.32,1.613e+05,298.32,1487.6,-19.142,36.475,-298.32,-1.5e+05,59200,0
-296.91,1.6156e+05,296.91,1484.6,-19.275,36.883,-296.91,-1.5e+05,59940,0
-295.55,1.6182e+05,295.55,1481.7,-19.408,37.292,-295.55,-1.5e+05,60680,0
-294.76,1.6211e+05,294.76,1478.9,-19.543,37.722,-294.76,-1.5e+05,61420,0
-293.96,1.6241e+05,293.96,1476,-19.678,38.153,-293.96,-1.5e+05,62160,0
-293.17,1.627e+05,293.17,1473.1,-19.813,38.584,-293.17,-1.5e+05,62900,0
-292.38,1.6299e+05,292.38,1470.3,-19.948,39.015,-292.38,-1.5e+05,63640,0
-291.59,1.6329e+05,291.59,1467.4,-20.083,39.445,-291.59,-1.5e+05,64380,0
-290.8,1.6358e+05,290.8,1464.6,-20.218,39.876,-290.8,-1.5e+05,65120,0
-290.01,1.6387e+05,290.01,1461.7,-20.353,40.307,-290.01,-1.5e+05,65860,0
-289.22,1.6417e+05,289.22,1458.9,-20.488,40.737,-289.22,-1.5e+05,66600,0
-288.43,1.6446e+05,288.43,1456,-20.623,41.168,-288.43,-1.5e+05,67340,0
-287.63,1.6475e+05,287.63,1453.2,-20.758,41.599,-287.63,-1.5e+05,68080,0
-286.84,1.6504e+05,286.84,1450.3,-20.893,42.029,-286.84,-1.5e+05,68820,0
-285.41,1.6535e+05,285.41,1446.9,-21.005,42.432,-285.41,-1.5e+05,69560,0
