"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,-3.9e+05,0,0
nan,nan,nan,nan,nan,nan,nan,-3.902e+05,-450,0
nan,nan,nan,nan,nan,nan,nan,-3.904e+05,-900,0
nan,nan,nan,nan,nan,nan,nan,-3.906e+05,-1350,0
nan,nan,nan,nan,nan,nan,nan,-3.908e+05,-1800,0
nan,nan,nan,nan,nan,nan,nan,-3.91e+05,-2250,0
nan,nan,nan,nan,nan,nan,nan,-3.912e+05,-2700,0
nan,nan,nan,nan,nan,nan,nan,-3.914e+05,-3150,0
nan,nan,nan,nan,nan,nan,nan,-3.916e+05,-3600,0
nan,nan,nan,nan,nan,nan,nan,-3.918e+05,-4050,0
nan,nan,nan,nan,nan,nan,nan,-3.92e+05,-4500,0
nan,nan,nan,nan,nan,nan,nan,-3.922e+05,-4950,0
nan,nan,nan,nan,nan,nan,nan,-3.924e+05,-5400,0
nan,nan,nan,nan,nan,nan,nan,-3.926e+05,-5850,0
nan,nan,nan,nan,nan,nan,nan,-3.928e+05,-6300,0
nan,nan,nan,nan,nan,nan,nan,-3.93e+05,-6750,0
nan,nan,nan,nan,nan,nan,nan,-3.932e+05,-7200,0
nan,nan,nan,nan,nan,nan,nan,-3.934e+05,-7650,0
nan,nan,nan,nan,nan,nan,nan,-3.936e+05,-8100,0
nan,nan,nan,nan,nan,nan,nan,-3.938e+05,-8550,0
nan,nan,nan,nan,nan,nan,nan,-3.94e+05,-9000,0
nan,nan,nan,nan,nan,nan,nan,-3.942e+05,-9450,0
nan,nan,nan,nan,nan,nan,nan,-3.944e+05,-9900,0
nan,nan,nan,nan,nan,nan,nan,-3.946e+05,-10350,0
nan,nan,nan,nan,nan,nan,nan,-3.948e+05,-10800,0
nan,nan,nan,nan,nan,nan,nan,-3.95e+05,-11250,0
nan,nan,nan,nan,nan,nan,nan,-3.952e+05,-11700,0
nan,nan,nan,nan,nan,nan,nan,-3.954e+05,-12150,0
nan,nan,nan,nan,nan,nan,nan,-3.956e+05,-12600,0
nan,nan,nan,nan,nan,nan,nan,-3.958e+05,-13050,0
nan,nan,nan,nan,nan,nan,nan,-3.96e+05,-13500,0
nan,nan,nan,nan,nan,nan,nan,-3.962e+05,-13950,0
nan,nan,nan,nan,nan,nan,nan,-3.964e+05,-14400,0
nan,nan,nan,nan,nan,nan,nan,-3.966e+05,-14850,0
nan,nan,nan,nan,nan,nan,nan,-3.968e+05,-15300,0
nan,nan,nan,nan,nan,nan,nan,-3.97e+05,-15750,0
nan,nan,nan,nan,nan,nan,nan,-3.972e+05,-16200,0
nan,nan,nan,nan,nan,nan,nan,-3.974e+05,-16650,0
