"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-218.22,1.5e+05,218.22,1545.4,2.8624,-0.0065564,-218.22,1.5e+05,0,0
-218.21,1.5e+05,218.21,1545.2,2.8913,-0.37154,-218.21,1.5e+05,-740,0
-218.2,1.5001e+05,218.2,1545.1,2.9202,-0.73651,-218.2,1.5e+05,-1480,0
-218.55,1.5002e+05,218.55,1545.2,2.9805,-1.0951,-218.55,1.5e+05,-2220,0
-218.96,1.5003e+05,218.96,1545.3,3.0612,-1.4624,-218.96,1.5e+05,-2960,0
-219.46,1.5005e+05,219.46,1545.4,3.1599,-1.8308,-219.46,1.5e+05,-3700,0
-220.1,1.5007e+05,220.1,1545.5,3.2734,-2.1921,-220.1,1.5e+05,-4440,0
-220.8,1.5009e+05,220.8,1545.7,3.4037,-2.5643,-220.8,1.5e+05,-5180,0
-221.66,1.5012e+05,221.66,1546.1,3.5469,-2.9335,-221.66,1.5e+05,-5920,0
-222.59,1.5015e+05,222.59,1546.5,3.6952,-3.3015,-222.59,1.5e+05,-6660,0
-223.56,1.5018e+05,223.56,1546.7,3.8622,-3.6834,-223.56,1.5e+05,-7400,0
-224.77,1.5022e+05,224.77,1547.1,4.034,-4.0596,-224.77,1.5e+05,-8140,0
-225.98,1.5026e+05,225.98,1547.6,4.2119,-4.4406,-225.98,1.5e+05,-8880,0
-227.27,1.5031e+05,227.27,1548.3,4.4002,-4.8291,-227.27,1.5e+05,-9620,0
-228.73,1.5036e+05,228.73,1549,4.5887,-5.2159,-228.73,1.5e+05,-10360,0
-230.18,1.5041e+05,230.18,1549.6,4.7876,-5.6108,-230.18,1.5e+05,-11100,0
-231.77,1.5047e+05,231.77,1550.3,4.9896,-6.0096,-231.77,1.5e+05,-11840,0
-233.47,1.5053e+05,233.47,1551.1,5.1902,-6.4082,-233.47,1.5e+05,-12580,0
-235.1,1.5059e+05,235.1,1551.9,5.4056,-6.8168,-235.1,1.5e+05,-13320,0
-236.96,1.5066e+05,236.96,1552.9,5.6174,-7.2274,-236.96,1.5e+05,-14060,0
-238.83,1.5073e+05,238.83,1553.8,5.8321,-7.6405,-238.83,1.5e+05,-14800,0
-240.67,1.508e+05,240.67,1554.7,6.0551,-8.0602,-240.67,1.5e+05,-15540,0
-242.73,1.5088e+05,242.73,1555.8,6.2733,-8.4826,-242.73,1.5e+05,-16280,0
-244.71,1.5096e+05,244.71,1556.8,6.4988,-8.9087,-244.71,1.5e+05,-17020,0
-246.76,1.5105e+05,246.76,1557.8,6.7269,-9.34,-246.76,1.5e+05,-17760,0
-248.95,1.5114e+05,248.95,1559,6.952,-9.7735,-248.95,1.5e+05,-18500,0
-250.97,1.5123e+05,250.97,1560,7.1857,-10.211,-250.97,1.5e+05,-19240,0
-253.19,1.5133e+05,253.19,1561.2,7.4162,-10.653,-253.19,1.5e+05,-19980,0
-255.43,1.5143e+05,255.43,1562.4,7.6469,-11.096,-255.43,1.5e+05,-20720,0
-257.5,1.5153e+05,257.5,1563.4,7.885,-11.543,-257.5,1.5e+05,-21460,0
-259.84,1.5164e+05,259.84,1564.6,8.1179,-11.995,-259.84,1.5e+05,-22200,0
-262.05,1.5175e+05,262.05,1565.7,8.354,-12.447,-262.05,1.5e+05,-22940,0
-264.21,1.5186e+05,264.21,1566.7,8.5919,-12.901,-264.21,1.5e+05,-23680,0
-266.56,1.5198e+05,266.56,1567.9,8.8266,-13.36,-266.56,1.5e+05,-24420,0
-268.67,1.521e+05,268.67,1568.9,9.0654,-13.818,-268.67,1.5e+05,-25160,0
-270.9,1.5222e+05,270.9,1570,9.3025,-14.28,-270.9,1.5e+05,-25900,0
-273.21,1.5235e+05,273.21,1571.1,9.5382,-14.745,-273.21,1.5e+05,-26640,0
-275.18,1.5248e+05,275.18,1571.9,9.7771,-15.206,-275.18,1.5e+05,-27380,0
-277.44,1.5261e+05,277.44,1572.9,10.012,-15.674,-277.44,1.5e+05,-28120,0
-279.56,1.5275e+05,279.56,1573.9,10.247,-16.141,-279.56,1.5e+05,-28860,0
-281.52,1.5289e+05,281.52,1574.6,10.483,-16.606,-281.52,1.5e+05,-29600,0
-283.69,1.5304e+05,283.69,1575.5,10.716,-17.077,-283.69,1.5e+05,-30340,0
-285.59,1.5319e+05,285.59,1576.2,10.948,-17.544,-285.59,1.5e+05,-31080,0
-287.51,1.5334e+05,287.51,1576.8,11.179,-18.012,-287.51,1.5e+05,-31820,0
-289.56,1.5349e+05,289.56,1577.6,11.409,-18.484,-289.56,1.5e+05,-32560,0
-291.17,1.5365e+05,291.17,1577.9,11.636,-18.948,-291.17,1.5e+05,-33300,0
-293.03,1.5382e+05,293.03,1578.5,11.862,-19.418,-293.03,1.5e+05,-34040,0
-294.81,1.5398e+05,294.81,1579,12.086,-19.887,-294.81,1.5e+05,-34780,0
-296.27,1.5415e+05,296.27,1579.1,12.307,-20.35,-296.27,1.5e+05,-35520,0
-297.99,1.5432e+05,297.99,1579.5,12.527,-20.819,-297.99,1.5e+05,-36260,0
-299.44,1.545e+05,299.44,1579.6,12.743,-21.282,-299.44,1.5e+05,-37000,0
-300.8,1.5468e+05,300.8,1579.6,12.956,-21.744,-300.8,1.5e+05,-37740,0
-302.32,1.5486e+05,302.32,1579.8,13.169,-22.211,-302.32,1.5e+05,-38480,0
-303.41,1.5504e+05,303.41,1579.5,13.375,-22.665,-303.41,1.5e+05,-39220,0
-304.64,1.5523e+05,304.64,1579.3,13.581,-23.125,-304.64,1.5e+05,-39960,0
-305.89,1.5542e+05,305.89,1579.2,13.785,-23.586,-305.89,1.5e+05,-40700,0
-306.67,1.5562e+05,306.67,1578.5,13.981,-24.033,-306.67,1.5e+05,-41440,0
-307.76,1.5582e+05,307.76,1578.2,14.178,-24.49,-307.76,1.5e+05,-42180,0
-308.61,1.5602e+05,308.61,1577.6,14.37,-24.94,-308.61,1.5e+05,-42920,0
