"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-858.81,3.9e+05,858.81,1192.6,-16.337,0.56044,-858.81,-3.9e+05,0,0
-860.5,3.902e+05,860.5,1193.8,-16.265,0.95075,-860.5,-3.902e+05,450,0
-862.19,3.904e+05,862.19,1194.9,-16.192,1.3411,-862.19,-3.904e+05,900,0
-863.89,3.9061e+05,863.89,1196,-16.119,1.7314,-863.89,-3.906e+05,1350,0
-865.58,3.9081e+05,865.58,1197.1,-16.046,2.1217,-865.58,-3.908e+05,1800,0
-867.27,3.9101e+05,867.27,1198.3,-15.973,2.512,-867.27,-3.91e+05,2250,0
-868.96,3.9121e+05,868.96,1199.4,-15.901,2.9023,-868.96,-3.912e+05,2700,0
-870.66,3.9142e+05,870.66,1200.5,-15.828,3.2926,-870.66,-3.914e+05,3150,0
-872.35,3.9162e+05,872.35,1201.6,-15.755,3.6829,-872.35,-3.916e+05,3600,0
-874.04,3.9182e+05,874.04,1202.8,-15.682,4.0732,-874.04,-3.918e+05,4050,0
-876.04,3.9203e+05,876.04,1203.9,-15.684,4.4599,-876.04,-3.92e+05,4500,0
-877.74,3.9223e+05,877.74,1204.8,-15.701,4.8437,-877.74,-3.922e+05,4950,0
-879.17,3.9244e+05,879.17,1205.5,-15.73,5.225,-879.17,-3.924e+05,5400,0
-880.59,3.9265e+05,880.59,1206.2,-15.76,5.6062,-880.59,-3.926e+05,5850,0
-882.02,3.9286e+05,882.02,1206.9,-15.789,5.9874,-882.02,-3.928e+05,6300,0
-883.45,3.9306e+05,883.45,1207.6,-15.818,6.3687,-883.45,-3.93e+05,6750,0
-884.88,3.9327e+05,884.88,1208.3,-15.847,6.7499,-884.88,-3.932e+05,7200,0
-886.3,3.9348e+05,886.3,1208.9,-15.877,7.1311,-886.3,-3.934e+05,7650,0
-887.73,3.9368e+05,887.73,1209.6,-15.906,7.5124,-887.73,-3.936e+05,8100,0
-889.17,3.9389e+05,889.17,1210.3,-15.955,7.8929,-889.17,-3.938e+05,8550,0
-890.64,3.941e+05,890.64,1210.9,-16.033,8.2725,-890.64,-3.94e+05,9000,0
-892.2,3.9432e+05,892.2,1211.4,-16.13,8.6548,-892.2,-3.942e+05,9450,0
-893.81,3.9453e+05,893.81,1211.9,-16.234,9.0382,-893.81,-3.944e+05,9900,0
-895.41,3.9474e+05,895.41,1212.4,-16.339,9.4217,-895.41,-3.946e+05,10350,0
-897.02,3.9495e+05,897.02,1212.8,-16.444,9.8052,-897.02,-3.948e+05,10800,0
-898.14,3.9517e+05,898.14,1212.9,-16.549,10.18,-898.14,-3.95e+05,11250,0
-899.2,3.9538e+05,899.2,1212.9,-16.654,10.554,-899.2,-3.952e+05,11700,0
-900.25,3.9559e+05,900.25,1212.9,-16.758,10.928,-900.25,-3.954e+05,12150,0
-901.31,3.958e+05,901.31,1213,-16.863,11.302,-901.31,-3.956e+05,12600,0
-902.5,3.9602e+05,902.5,1213.1,-16.981,11.684,-902.5,-3.958e+05,13050,0
-903.8,3.9623e+05,903.8,1213.3,-17.109,12.071,-903.8,-3.96e+05,13500,0
-905.11,3.9645e+05,905.11,1213.6,-17.237,12.458,-905.11,-3.962e+05,13950,0
-906.41,3.9667e+05,906.41,1213.8,-17.365,12.846,-906.41,-3.964e+05,14400,0
-907.71,3.9688e+05,907.71,1214.1,-17.493,13.233,-907.71,-3.966e+05,14850,0
-909.02,3.971e+05,909.02,1214.3,-17.621,13.62,-909.02,-3.968e+05,15300,0
-910.32,3.9731e+05,910.32,1214.5,-17.749,14.008,-910.32,-3.97e+05,15750,0
-911.42,3.9753e+05,911.42,1214.6,-17.878,14.388,-911.42,-3.972e+05,16200,0
-912.67,3.9775e+05,912.67,1214.7,-18.021,14.773,-912.67,-3.974e+05,16650,0
-913.62,3.9797e+05,913.62,1214.4,-18.171,15.166,-913.62,-3.976e+05,17100,0
-914.57,3.9819e+05,914.57,1214.1,-18.322,15.559,-914.57,-3.978e+05,17550,0
-915.51,3.9841e+05,915.51,1213.9,-18.472,15.951,-915.51,-3.98e+05,18000,0
-916.46,3.9863e+05,916.46,1213.6,-18.622,16.344,-916.46,-3.982e+05,18450,0
-917.41,3.9885e+05,917.41,1213.3,-18.773,16.737,-917.41,-3.984e+05,18900,0
-918.36,3.9907e+05,918.36,1213,-18.923,17.13,-918.36,-3.986e+05,19350,0
-919.31,3.9929e+05,919.31,1212.7,-19.073,17.523,-919.31,-3.988e+05,19800,0
-920.26,3.9952e+05,920.26,1212.4,-19.224,17.915,-920.26,-3.99e+05,20250,0
-921.3,3.9974e+05,921.3,1212.2,-19.38,18.312,-921.3,-3.992e+05,20700,0
-922.61,3.9996e+05,922.61,1212.2,-19.552,18.717,-922.61,-3.994e+05,21150,0
-923.71,4.0019e+05,923.71,1212,-19.718,19.129,-923.71,-3.996e+05,21600,0
-924.52,4.0041e+05,924.52,1211.5,-19.877,19.55,-924.52,-3.998e+05,22050,0
-925.34,4.0064e+05,925.34,1211,-20.036,19.971,-925.34,-4e+05,22500,0
-926.15,4.0086e+05,926.15,1210.5,-20.195,20.392,-926.15,-4.002e+05,22950,0
-926.96,4.0109e+05,926.96,1210,-20.354,20.813,-926.96,-4.004e+05,23400,0
-927.78,4.0131e+05,927.78,1209.4,-20.513,21.234,-927.78,-4.006e+05,23850,0
-928.59,4.0154e+05,928.59,1208.9,-20.672,21.655,-928.59,-4.008e+05,24300,0
-929.4,4.0176e+05,929.4,1208.4,-20.831,22.076,-929.4,-4.01e+05,24750,0
-930.45,4.0199e+05,930.45,1208,-21.006,22.51,-930.45,-4.012e+05,25200,0
-931.61,4.0222e+05,931.61,1207.7,-21.19,22.949,-931.61,-4.014e+05,25650,0
-932.78,4.0245e+05,932.78,1207.4,-21.373,23.389,-932.78,-4.016e+05,26100,0
-933.7,4.0268e+05,933.7,1206.9,-21.544,23.841,-933.7,-4.018e+05,26550,0
-934.41,4.0291e+05,934.41,1206.2,-21.704,24.303,-934.41,-4.02e+05,27000,0
-935.12,4.0314e+05,935.12,1205.5,-21.864,24.765,-935.12,-4.022e+05,27450,0
-935.83,4.0337e+05,935.83,1204.7,-22.025,25.227,-935.83,-4.024e+05,27900,0
-936.53,4.036e+05,936.53,1204,-22.185,25.689,-936.53,-4.026e+05,28350,0
-937.24,4.0383e+05,937.24,1203.3,-22.345,26.152,-937.24,-4.028e+05,28800,0
-937.96,4.0406e+05,937.96,1202.6,-22.506,26.614,-937.96,-4.03e+05,29250,0
-939.02,4.0429e+05,939.02,1202.1,-22.703,27.1,-939.02,-4.032e+05,29700,0
-940.09,4.0453e+05,940.09,1201.6,-22.901,27.585,-940.09,-4.034e+05,30150,0
-941.15,4.0476e+05,941.15,1201.1,-23.098,28.071,-941.15,-4.036e+05,30600,0
-942.22,4.05e+05,942.22,1200.6,-23.296,28.556,-942.22,-4.038e+05,31050,0
-943,4.0523e+05,943,1199.8,-23.471,29.063,-943,-4.04e+05,31500,0
-943.63,4.0547e+05,943.63,1198.9,-23.636,29.581,-943.63,-4.042e+05,31950,0
-944.27,4.057e+05,944.27,1198,-23.8,30.1,-944.27,-4.044e+05,32400,0
-944.9,4.0593e+05,944.9,1197.1,-23.965,30.618,-944.9,-4.046e+05,32850,0
-945.54,4.0617e+05,945.54,1196.1,-24.129,31.136,-945.54,-4.048e+05,33300,0
-946.32,4.064e+05,946.32,1195.3,-24.313,31.666,-946.32,-4.05e+05,33750,0
-947.31,4.0664e+05,947.31,1194.6,-24.525,32.213,-947.31,-4.052e+05,34200,0
-948.3,4.0688e+05,948.3,1194,-24.737,32.761,-948.3,-4.054e+05,34650,0
-949.3,4.0712e+05,949.3,1193.3,-24.949,33.308,-949.3,-4.056e+05,35100,0
-950.29,4.0736e+05,950.29,1192.6,-25.161,33.855,-950.29,-4.058e+05,35550,0
-951.28,4.076e+05,951.28,1191.9,-25.373,34.402,-951.28,-4.06e+05,36000,0
-951.95,4.0784e+05,951.95,1191,-25.548,34.985,-951.95,-4.062e+05,36450,0
-952.55,4.0808e+05,952.55,1189.9,-25.713,35.576,-952.55,-4.064e+05,36900,0
-953.14,4.0831e+05,953.14,1188.8,-25.878,36.167,-953.14,-4.066e+05,37350,0
-953.73,4.0855e+05,953.73,1187.8,-26.043,36.758,-953.73,-4.068e+05,37800,0
-954.6,4.088e+05,954.6,1186.9,-26.264,37.38,-954.6,-4.07e+05,38250,0
-955.55,4.0904e+05,955.55,1186,-26.501,38.01,-955.55,-4.072e+05,38700,0
-956.49,4.0928e+05,956.49,1185.2,-26.738,38.64,-956.49,-4.074e+05,39150,0
-957.43,4.0952e+05,957.43,1184.3,-26.974,39.27,-957.43,-4.076e+05,39600,0
-958.38,4.0977e+05,958.38,1183.5,-27.211,39.899,-958.38,-4.078e+05,40050,0
-959.32,4.1001e+05,959.32,1182.6,-27.447,40.529,-959.32,-4.08e+05,40500,0
-960.27,4.1025e+05,960.27,1181.8,-27.684,41.159,-960.27,-4.082e+05,40950,0
-960.87,4.105e+05,960.87,1180.6,-27.863,41.839,-960.87,-4.084e+05,41400,0
-961.45,4.1074e+05,961.45,1179.4,-28.037,42.523,-961.45,-4.086e+05,41850,0
-962.08,4.1098e+05,962.08,1178.2,-28.226,43.216,-962.08,-4.088e+05,42300,0
-963,4.1123e+05,963,1177.2,-28.493,43.955,-963,-4.09e+05,42750,0
-963.91,4.1148e+05,963.91,1176.2,-28.76,44.693,-963.91,-4.092e+05,43200,0
-964.83,4.1173e+05,964.83,1175.2,-29.027,45.431,-964.83,-4.094e+05,43650,0
-965.75,4.1197e+05,965.75,1174.2,-29.294,46.169,-965.75,-4.096e+05,44100,0
-966.67,4.1222e+05,966.67,1173.2,-29.562,46.908,-966.67,-4.098e+05,44550,0
-967.59,4.1247e+05,967.59,1172.2,-29.829,47.646,-967.59,-4.1e+05,45000,0
-968.51,4.1271e+05,968.51,1171.2,-30.096,48.384,-968.51,-4.102e+05,45450,0
-969.41,4.1296e+05,969.41,1170.2,-30.359,49.125,-969.41,-4.104e+05,45900,0
-969.99,4.1321e+05,969.99,1168.9,-30.536,49.927,-969.99,-4.106e+05,46350,0
-970.75,4.1346e+05,970.75,1167.6,-30.787,50.775,-970.75,-4.108e+05,46800,0
-971.66,4.1371e+05,971.66,1166.5,-31.102,51.662,-971.66,-4.11e+05,47250,0
-972.57,4.1396e+05,972.57,1165.3,-31.417,52.549,-972.57,-4.112e+05,47700,0
-973.48,4.1421e+05,973.48,1164.1,-31.732,53.436,-973.48,-4.114e+05,48150,0
-974.4,4.1446e+05,974.4,1163,-32.047,54.323,-974.4,-4.116e+05,48600,0
-975.31,4.1472e+05,975.31,1161.8,-32.362,55.21,-975.31,-4.118e+05,49050,0
-976.22,4.1497e+05,976.22,1160.6,-32.676,56.097,-976.22,-4.12e+05,49500,0
-977.13,4.1522e+05,977.13,1159.4,-32.991,56.984,-977.13,-4.122e+05,49950,0
-978.05,4.1547e+05,978.05,1158.3,-33.306,57.871,-978.05,-4.124e+05,50400,0
-978.9,4.1572e+05,978.9,1157,-33.599,58.769,-978.9,-4.126e+05,50850,0
-979.8,4.1598e+05,979.8,1155.7,-33.959,59.844,-979.8,-4.128e+05,51300,0
-980.72,4.1623e+05,980.72,1154.4,-34.335,60.93,-980.72,-4.13e+05,51750,0
-981.5,4.1649e+05,981.5,1152.9,-34.697,61.971,-981.5,-4.132e+05,52200,0
-982.27,4.1674e+05,982.27,1151.5,-35.058,63.011,-982.27,-4.134e+05,52650,0
-983.04,4.17e+05,983.04,1150,-35.419,64.05,-983.04,-4.136e+05,53100,0
-983.81,4.1726e+05,983.81,1148.6,-35.781,65.09,-983.81,-4.138e+05,53550,0
-984.58,4.1751e+05,984.58,1147.2,-36.142,66.13,-984.58,-4.14e+05,54000,0
-985.36,4.1777e+05,985.36,1145.7,-36.503,67.169,-985.36,-4.142e+05,54450,0
-986.13,4.1802e+05,986.13,1144.3,-36.865,68.209,-986.13,-4.144e+05,54900,0
-986.98,4.1828e+05,956.93,1142.9,-37.295,69.261,-986.98,-4.146e+05,55350,0
-987.96,4.1854e+05,855.07,1141.4,-37.859,70.384,-987.96,-4.148e+05,55800,0
-988.75,4.188e+05,752.42,1139.7,-38.338,71.607,-988.75,-4.15e+05,56250,0
-989.54,4.1906e+05,649.76,1138.1,-38.818,72.829,-989.54,-4.152e+05,56700,0
