"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-218.22,1.5e+05,218.22,1533.8,2.9187,-0.078771,-218.22,1.5e+05,0,0
-218.24,1.5001e+05,218.24,1533.7,2.9836,0.29256,-218.24,1.5e+05,740,0
-218.27,1.5002e+05,218.27,1533.6,3.0484,0.66389,-218.27,1.5e+05,1480,0
-218.29,1.5003e+05,218.29,1533.5,3.1133,1.0352,-218.29,1.5e+05,2220,0
-218.31,1.5004e+05,218.31,1533.4,3.1781,1.4066,-218.31,1.5e+05,2960,0
-218.33,1.5005e+05,218.33,1533.3,3.2429,1.7779,-218.33,1.5e+05,3700,0
-218.36,1.5007e+05,218.36,1533.3,3.3078,2.1492,-218.36,1.5e+05,4440,0
-219.67,1.501e+05,219.67,1533.8,3.4652,2.5388,-219.67,1.5e+05,5180,0
-221,1.5014e+05,221,1534.4,3.6234,2.9286,-221,1.5e+05,5920,0
-222.32,1.5017e+05,222.32,1535,3.7816,3.3184,-222.32,1.5e+05,6660,0
-223.65,1.5021e+05,223.65,1535.5,3.9397,3.7081,-223.65,1.5e+05,7400,0
-224.97,1.5024e+05,224.97,1536.1,4.0979,4.0979,-224.97,1.5e+05,8140,0
-226.3,1.5028e+05,226.3,1536.7,4.256,4.4877,-226.3,1.5e+05,8880,0
-227.05,1.5031e+05,227.05,1536.7,4.4228,4.8841,-227.05,1.5e+05,9620,0
-228.46,1.5036e+05,228.46,1537.4,4.6291,5.2983,-228.46,1.5e+05,10360,0
-230.14,1.5043e+05,230.14,1538.3,4.8414,5.7081,-230.14,1.5e+05,11100,0
-231.83,1.5049e+05,231.83,1539.2,5.0537,6.118,-231.83,1.5e+05,11840,0
-233.52,1.5055e+05,233.52,1540.1,5.266,6.5278,-233.52,1.5e+05,12580,0
-235.2,1.5061e+05,235.2,1541,5.4783,6.9377,-235.2,1.5e+05,13320,0
-236.89,1.5067e+05,236.89,1541.9,5.6906,7.3475,-236.89,1.5e+05,14060,0
-238.57,1.5073e+05,238.57,1542.8,5.903,7.7574,-238.57,1.5e+05,14800,0
-240.19,1.5081e+05,240.19,1543.4,6.149,8.1946,-240.19,1.5e+05,15540,0
-242.33,1.5089e+05,242.33,1544.3,6.3819,8.6385,-242.33,1.5e+05,16280,0
-244.47,1.5098e+05,244.47,1545.2,6.6148,9.0825,-244.47,1.5e+05,17020,0
-246.61,1.5107e+05,246.61,1546.2,6.8477,9.5265,-246.61,1.5e+05,17760,0
-248.76,1.5115e+05,248.76,1547.1,7.0806,9.9704,-248.76,1.5e+05,18500,0
-250.9,1.5124e+05,250.9,1548.1,7.3136,10.414,-250.9,1.5e+05,19240,0
-252.86,1.5133e+05,252.86,1548.9,7.5535,10.86,-252.86,1.5e+05,19980,0
-254.85,1.5143e+05,254.85,1550,7.8018,11.32,-254.85,1.5e+05,20720,0
