"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-218.22,1.5e+05,218.22,1535.3,-2.911,-0.030267,-218.22,-1.5e+05,0,0
-218.22,1.5001e+05,218.22,1535.1,-2.9796,-0.40175,-218.22,-1.5e+05,-740,0
-218.23,1.5002e+05,218.23,1534.9,-3.0483,-0.77324,-218.23,-1.5e+05,-1480,0
-218.23,1.5003e+05,218.23,1534.6,-3.1169,-1.1447,-218.23,-1.5e+05,-2220,0
-218.23,1.5004e+05,218.23,1534.4,-3.1856,-1.5162,-218.23,-1.5e+05,-2960,0
-218.24,1.5005e+05,218.24,1534.2,-3.2542,-1.8877,-218.24,-1.5e+05,-3700,0
-218.69,1.5007e+05,218.69,1534.2,-3.353,-2.2656,-218.69,-1.5e+05,-4440,0
-219.9,1.501e+05,219.9,1534.7,-3.5016,-2.654,-219.9,-1.5e+05,-5180,0
-221.11,1.5013e+05,221.11,1535.2,-3.6502,-3.0424,-221.11,-1.5e+05,-5920,0
-222.32,1.5016e+05,222.32,1535.7,-3.7989,-3.4308,-222.32,-1.5e+05,-6660,0
-223.53,1.5019e+05,223.53,1536.2,-3.9475,-3.8193,-223.53,-1.5e+05,-7400,0
-224.44,1.5022e+05,224.44,1536.4,-4.0917,-4.1945,-224.44,-1.5e+05,-8140,0
-226.06,1.5027e+05,226.06,1537.3,-4.2762,-4.5846,-226.06,-1.5e+05,-8880,0
-227.26,1.5032e+05,227.26,1537.8,-4.4835,-4.9866,-227.26,-1.5e+05,-9620,0
-228.29,1.5037e+05,228.29,1538.1,-4.6935,-5.3902,-228.29,-1.5e+05,-10360,0
-229.32,1.5042e+05,229.32,1538.4,-4.9035,-5.7939,-229.32,-1.5e+05,-11100,0
-230.34,1.5047e+05,230.34,1538.7,-5.1136,-6.1975,-230.34,-1.5e+05,-11840,0
-232.39,1.5053e+05,232.39,1539.9,-5.3207,-6.6111,-232.39,-1.5e+05,-12580,0
-234.45,1.506e+05,234.45,1541,-5.5277,-7.025,-234.45,-1.5e+05,-13320,0
-236.52,1.5067e+05,236.52,1542.2,-5.7348,-7.4388,-236.52,-1.5e+05,-14060,0
-238.58,1.5073e+05,238.58,1543.3,-5.9418,-7.8527,-238.58,-1.5e+05,-14800,0
-240.03,1.5081e+05,240.03,1543.8,-6.1868,-8.2859,-240.03,-1.5e+05,-15540,0
-241.98,1.5089e+05,241.98,1544.6,-6.4248,-8.7288,-241.98,-1.5e+05,-16280,0
-244.2,1.5098e+05,244.2,1545.7,-6.6579,-9.1755,-244.2,-1.5e+05,-17020,0
-246.42,1.5106e+05,246.42,1546.7,-6.8909,-9.6223,-246.42,-1.5e+05,-17760,0
-248.63,1.5115e+05,248.63,1547.7,-7.1239,-10.069,-248.63,-1.5e+05,-18500,0
-250.85,1.5124e+05,250.85,1548.8,-7.3569,-10.516,-250.85,-1.5e+05,-19240,0
-252.85,1.5133e+05,252.85,1549.7,-7.5967,-10.964,-252.85,-1.5e+05,-19980,0
-254.87,1.5143e+05,254.87,1550.8,-7.845,-11.425,-254.87,-1.5e+05,-20720,0
-257.17,1.5154e+05,257.17,1552.1,-8.0901,-11.892,-257.17,-1.5e+05,-21460,0
-259.47,1.5165e+05,259.47,1553.5,-8.3352,-12.359,-259.47,-1.5e+05,-22200,0
-261.77,1.5176e+05,261.77,1554.9,-8.5803,-12.826,-261.77,-1.5e+05,-22940,0
-264.06,1.5187e+05,264.06,1556.2,-8.8254,-13.293,-264.06,-1.5e+05,-23680,0
-266.36,1.5198e+05,266.36,1557.6,-9.0705,-13.761,-266.36,-1.5e+05,-24420,0
-268.19,1.521e+05,268.19,1558.3,-9.3205,-14.225,-268.19,-1.5e+05,-25160,0
-270.31,1.5223e+05,270.31,1559,-9.5611,-14.704,-270.31,-1.5e+05,-25900,0
-272.55,1.5236e+05,272.55,1559.9,-9.7993,-15.187,-272.55,-1.5e+05,-26640,0
-274.78,1.525e+05,274.78,1560.8,-10.037,-15.67,-274.78,-1.5e+05,-27380,0
-277.02,1.5263e+05,277.02,1561.6,-10.276,-16.153,-277.02,-1.5e+05,-28120,0
-279.26,1.5276e+05,279.26,1562.5,-10.514,-16.636,-279.26,-1.5e+05,-28860,0
-281.49,1.529e+05,281.49,1563.4,-10.752,-17.118,-281.49,-1.5e+05,-29600,0
-282.93,1.5304e+05,282.93,1563.6,-10.995,-17.588,-282.93,-1.5e+05,-30340,0
-284.89,1.532e+05,284.89,1564.3,-11.236,-18.075,-284.89,-1.5e+05,-31080,0
-286.86,1.5335e+05,286.86,1565.1,-11.477,-18.562,-286.86,-1.5e+05,-31820,0
-288.82,1.5351e+05,288.82,1565.8,-11.718,-19.048,-288.82,-1.5e+05,-32560,0
-290.78,1.5367e+05,290.78,1566.5,-11.959,-19.535,-290.78,-1.5e+05,-33300,0
-292.74,1.5382e+05,292.74,1567.2,-12.201,-20.022,-292.74,-1.5e+05,-34040,0
-294.61,1.5398e+05,294.61,1567.8,-12.44,-20.506,-294.61,-1.5e+05,-34780,0
-295.61,1.5415e+05,295.61,1567.5,-12.66,-20.969,-295.61,-1.5e+05,-35520,0
-297.13,1.5433e+05,297.13,1567.6,-12.881,-21.45,-297.13,-1.5e+05,-36260,0
-298.66,1.5451e+05,298.66,1567.7,-13.101,-21.93,-298.66,-1.5e+05,-37000,0
