"bedrock","distance","groundingline","h","ssavelocity 1","ssavelocity 2","zb","Points:0","Points:1","Points:2"
-858.81,3.9e+05,858.81,1192.6,-16.337,0.56044,-858.81,-3.9e+05,0,0
-860.5,3.902e+05,860.5,1193.8,-16.244,0.1686,-860.5,-3.902e+05,-450,0
-862.19,3.9041e+05,862.19,1195,-16.15,-0.22325,-862.19,-3.904e+05,-900,0
-863.89,3.9061e+05,863.89,1196.3,-16.057,-0.61509,-863.89,-3.906e+05,-1350,0
-865.58,3.9081e+05,865.58,1197.5,-15.963,-1.0069,-865.58,-3.908e+05,-1800,0
-867.27,3.9101e+05,867.27,1198.7,-15.869,-1.3988,-867.27,-3.91e+05,-2250,0
-868.96,3.9122e+05,868.96,1199.9,-15.776,-1.7906,-868.96,-3.912e+05,-2700,0
-870.66,3.9142e+05,870.66,1201.1,-15.682,-2.1825,-870.66,-3.914e+05,-3150,0
-872.35,3.9162e+05,872.35,1202.3,-15.588,-2.5743,-872.35,-3.916e+05,-3600,0
-874.04,3.9183e+05,874.04,1203.5,-15.495,-2.9661,-874.04,-3.918e+05,-4050,0
-875.73,3.9203e+05,875.73,1204.7,-15.401,-3.358,-875.73,-3.92e+05,-4500,0
-877.42,3.9223e+05,877.42,1205.9,-15.307,-3.7498,-877.42,-3.922e+05,-4950,0
-879.4,3.9244e+05,879.4,1206.9,-15.309,-4.1359,-879.4,-3.924e+05,-5400,0
-881.12,3.9265e+05,881.12,1207.9,-15.345,-4.519,-881.12,-3.926e+05,-5850,0
-882.74,3.9286e+05,882.74,1208.7,-15.382,-4.9012,-882.74,-3.928e+05,-6300,0
-884.06,3.9307e+05,884.06,1209.3,-15.416,-5.2804,-884.06,-3.93e+05,-6750,0
-885.38,3.9327e+05,885.38,1209.8,-15.45,-5.6596,-885.38,-3.932e+05,-7200,0
-886.69,3.9348e+05,886.69,1210.4,-15.484,-6.0388,-886.69,-3.934e+05,-7650,0
-888.01,3.9369e+05,888.01,1211,-15.518,-6.4179,-888.01,-3.936e+05,-8100,0
-889.33,3.939e+05,889.33,1211.5,-15.552,-6.7971,-889.33,-3.938e+05,-8550,0
-890.64,3.9411e+05,890.64,1212.1,-15.586,-7.1763,-890.64,-3.94e+05,-9000,0
-891.96,3.9432e+05,891.96,1212.6,-15.62,-7.5555,-891.96,-3.942e+05,-9450,0
-893.27,3.9453e+05,893.27,1213,-15.686,-7.9348,-893.27,-3.944e+05,-9900,0
-894.56,3.9474e+05,894.56,1213.3,-15.775,-8.3143,-894.56,-3.946e+05,-10350,0
-895.85,3.9495e+05,895.85,1213.5,-15.865,-8.6939,-895.85,-3.948e+05,-10800,0
-897.15,3.9516e+05,897.15,1213.8,-15.954,-9.0734,-897.15,-3.95e+05,-11250,0
-898.42,3.9538e+05,898.42,1214.1,-16.053,-9.4517,-898.42,-3.952e+05,-11700,0
-899.67,3.9559e+05,899.67,1214.3,-16.165,-9.8283,-899.67,-3.954e+05,-12150,0
-900.92,3.958e+05,900.92,1214.6,-16.276,-10.205,-900.92,-3.956e+05,-12600,0
-902.17,3.9602e+05,902.17,1214.8,-16.388,-10.581,-902.17,-3.958e+05,-13050,0
-903.46,3.9623e+05,903.46,1215.1,-16.507,-10.96,-903.46,-3.96e+05,-13500,0
-904.81,3.9645e+05,904.81,1215.4,-16.641,-11.346,-904.81,-3.962e+05,-13950,0
-906.16,3.9667e+05,906.16,1215.7,-16.776,-11.731,-906.16,-3.964e+05,-14400,0
-907.52,3.9688e+05,907.52,1216.1,-16.91,-12.117,-907.52,-3.966e+05,-14850,0
-908.87,3.971e+05,908.87,1216.4,-17.045,-12.502,-908.87,-3.968e+05,-15300,0
-910.23,3.9732e+05,910.23,1216.7,-17.179,-12.887,-910.23,-3.97e+05,-15750,0
-911.58,3.9754e+05,911.58,1217,-17.314,-13.273,-911.58,-3.972e+05,-16200,0
-912.63,3.9775e+05,912.63,1217.1,-17.448,-13.652,-912.63,-3.974e+05,-16650,0
-913.49,3.9797e+05,913.49,1217,-17.582,-14.026,-913.49,-3.976e+05,-17100,0
-914.44,3.9819e+05,914.44,1216.8,-17.72,-14.413,-914.44,-3.978e+05,-17550,0
-915.42,3.9841e+05,915.42,1216.6,-17.865,-14.806,-915.42,-3.98e+05,-18000,0
-916.31,3.9863e+05,916.31,1216.2,-18.022,-15.192,-916.31,-3.982e+05,-18450,0
-917.19,3.9885e+05,917.19,1215.8,-18.179,-15.578,-917.19,-3.984e+05,-18900,0
-918.08,3.9907e+05,918.08,1215.4,-18.336,-15.964,-918.08,-3.986e+05,-19350,0
-918.97,3.993e+05,918.97,1215,-18.493,-16.35,-918.97,-3.988e+05,-19800,0
-919.85,3.9952e+05,919.85,1214.6,-18.65,-16.736,-919.85,-3.99e+05,-20250,0
-920.74,3.9974e+05,920.74,1214.2,-18.807,-17.122,-920.74,-3.992e+05,-20700,0
-921.62,3.9996e+05,921.62,1213.8,-18.964,-17.508,-921.62,-3.994e+05,-21150,0
-922.67,4.0019e+05,922.67,1213.6,-19.124,-17.922,-922.67,-3.996e+05,-21600,0
-923.77,4.0041e+05,923.77,1213.3,-19.284,-18.346,-923.77,-3.998e+05,-22050,0
-924.87,4.0064e+05,924.87,1213,-19.445,-18.77,-924.87,-4e+05,-22500,0
-925.96,4.0086e+05,925.96,1212.8,-19.605,-19.194,-925.96,-4.002e+05,-22950,0
-927.06,4.0109e+05,927.06,1212.5,-19.766,-19.618,-927.06,-4.004e+05,-23400,0
-928.16,4.0131e+05,928.16,1212.3,-19.926,-20.042,-928.16,-4.006e+05,-23850,0
-929.26,4.0154e+05,929.26,1212,-20.087,-20.466,-929.26,-4.008e+05,-24300,0
-930.3,4.0176e+05,930.3,1211.7,-20.25,-20.881,-930.3,-4.01e+05,-24750,0
-931.23,4.0199e+05,931.23,1211.4,-20.421,-21.28,-931.23,-4.012e+05,-25200,0
-932.39,4.0222e+05,932.39,1211.1,-20.604,-21.73,-932.39,-4.014e+05,-25650,0
-933.56,4.0245e+05,933.56,1210.9,-20.787,-22.185,-933.56,-4.016e+05,-26100,0
-934.29,4.0268e+05,934.29,1210.2,-20.956,-22.623,-934.29,-4.018e+05,-26550,0
-934.95,4.0291e+05,934.95,1209.5,-21.123,-23.058,-934.95,-4.02e+05,-27000,0
-935.61,4.0314e+05,935.61,1208.8,-21.29,-23.494,-935.61,-4.022e+05,-27450,0
-936.26,4.0337e+05,936.26,1208.1,-21.457,-23.929,-936.26,-4.024e+05,-27900,0
-936.92,4.036e+05,936.92,1207.4,-21.624,-24.364,-936.92,-4.026e+05,-28350,0
-937.58,4.0383e+05,937.58,1206.6,-21.791,-24.799,-937.58,-4.028e+05,-28800,0
-938.25,4.0406e+05,938.25,1205.9,-21.958,-25.24,-938.25,-4.03e+05,-29250,0
-939.2,4.043e+05,939.2,1205.4,-22.128,-25.747,-939.2,-4.032e+05,-29700,0
-940.15,4.0453e+05,940.15,1204.9,-22.299,-26.253,-940.15,-4.034e+05,-30150,0
-941.1,4.0476e+05,941.1,1204.4,-22.469,-26.76,-941.1,-4.036e+05,-30600,0
-942.04,4.0499e+05,942.04,1203.9,-22.64,-27.267,-942.04,-4.038e+05,-31050,0
-942.91,4.0523e+05,942.91,1203.3,-22.816,-27.758,-942.91,-4.04e+05,-31500,0
-943.64,4.0546e+05,943.64,1202.5,-23.001,-28.226,-943.64,-4.042e+05,-31950,0
-944.37,4.057e+05,944.37,1201.6,-23.187,-28.693,-944.37,-4.044e+05,-32400,0
-945.1,4.0593e+05,945.1,1200.8,-23.372,-29.161,-945.1,-4.046e+05,-32850,0
-945.91,4.0617e+05,945.91,1200,-23.561,-29.649,-945.91,-4.048e+05,-33300,0
-946.96,4.0641e+05,946.96,1199.4,-23.763,-30.208,-946.96,-4.05e+05,-33750,0
-948.02,4.0665e+05,948.02,1198.8,-23.964,-30.767,-948.02,-4.052e+05,-34200,0
-949.07,4.0688e+05,949.07,1198.2,-24.166,-31.326,-949.07,-4.054e+05,-34650,0
