Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
0,0,-218.221,1e+20,433013,1,1555.41,0.00377451,1310.78,-600000,150000,0,0,150000,0,0.3,2.86034,0,1e+20,1,150000,0,-218.221,1337.19
1,740,-218.233,1e+20,429398,1,1555.28,0.00377496,1310.63,-599998,150000,740,0,150002,0,0.3,2.87626,0.363588,1e+20,1,150000,740,-218.233,1337.04
2,1480,-218.442,1e+20,457153,1,1555.37,0.00377459,1310.49,-599992,150000,1480,0,150007,0,0.3,2.91457,0.728885,1e+20,1,150000,1480,-218.442,1336.93
3,2220,-218.713,1e+20,295542,1,1555.4,0.00377459,1310.21,-599983,150000,2220,0,150016,0,0.3,2.97224,1.09269,1e+20,1,150000,2220,-218.713,1336.68
4,2960,-219.087,1e+20,395967,1,1555.49,0.00377397,1309.88,-599970,150000,2960,0,150029,0,0.3,3.05105,1.45641,1e+20,1,150000,2960,-219.087,1336.4
5,3700,-219.588,1e+20,403097,1,1555.56,0.00377537,1309.39,-599954,150000,3700,0,150046,0,0.3,3.14884,1.82178,1e+20,1,150000,3700,-219.588,1335.97
6,4440,-220.207,1e+20,433013,1,1555.74,0.00377365,1308.88,-599934,150000,4440,0,150066,0,0.3,3.26414,2.1894,1e+20,1,150000,4440,-220.207,1335.53
7,5180,-220.928,1e+20,433013,1,1555.97,0.00377417,1308.3,-599910,150000,5180,0,150089,0,0.3,3.39349,2.55797,1e+20,1,150000,5180,-220.928,1335.04
8,5920,-221.766,1e+20,433013,1,1556.22,0.00377566,1307.6,-599883,150000,5920,0,150117,0,0.3,3.53532,2.92741,1e+20,1,150000,5920,-221.766,1334.45
9,6660,-222.699,1e+20,433013,1,1556.58,0.00377255,1306.92,-599852,150000,6660,0,150148,0,0.3,3.68754,3.29963,1e+20,1,150000,6660,-222.699,1333.87
10,7400,-223.728,1e+20,433013,1,1556.94,0.00377541,1306.13,-599817,150000,7400,0,150182,0,0.3,3.85075,3.67625,1e+20,1,150000,7400,-223.728,1333.21
11,8140,-224.862,1e+20,433013,1,1557.39,0.00377538,1305.31,-599779,150000,8140,0,150221,0,0.3,4.02198,4.05496,1e+20,1,150000,8140,-224.862,1332.53
