Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
0,0,-858.81,1e+20,458458,1,1234.03,0.000379071,271.263,-360000,390000,0,0,390000,0,0.3,15.7945,0,1e+20,1,390000,0,-858.81,375.219
1,492.443,-860.674,1e+20,514906,1,1235.48,0.000379154,270.62,-359799,390200,450,0,390200,0,0.3,15.6723,0.366849,1e+20,1,390200,450,-860.674,374.801
2,984.886,-862.539,1e+20,514906,1,1236.92,0.000379236,269.976,-359599,390400,900,0,390401,0,0.3,15.5501,0.733698,1e+20,1,390400,900,-862.539,374.384
3,1477.33,-864.388,1e+20,382565,1,1238.35,0.000379309,269.328,-359397,390600,1350,0,390602,0,0.3,15.4489,1.09976,1e+20,1,390600,1350,-864.388,373.959
4,1969.77,-866.176,1e+20,379650,1,1239.72,0.000379378,268.691,-359196,390800,1800,0,390804,0,0.3,15.3509,1.46578,1e+20,1,390800,1800,-866.176,373.539
5,2462.21,-867.982,1e+20,460743,1,1241.01,0.000379431,267.964,-358993,391000,2250,0,391006,0,0.3,15.2725,1.83242,1e+20,1,391000,2250,-867.982,373.031
6,2954.66,-869.768,1e+20,460743,1,1242.27,0.00037949,267.22,-358790,391200,2700,0,391209,0,0.3,15.2002,2.1993,1e+20,1,391200,2700,-869.768,372.503
7,3447.1,-871.464,1e+20,448245,1,1243.44,0.000379532,266.484,-358587,391400,3150,0,391413,0,0.3,15.1364,2.56567,1e+20,1,391400,3150,-871.464,371.972
8,3939.54,-873.143,1e+20,448245,1,1244.57,0.000379556,265.733,-358383,391600,3600,0,391617,0,0.3,15.0869,2.93121,1e+20,1,391600,3600,-873.143,371.424
9,4431.99,-874.821,1e+20,436888,1,1245.67,0.00037958,264.954,-358179,391800,4050,0,391821,0,0.3,15.048,3.29653,1e+20,1,391800,4050,-874.821,370.848
10,4924.43,-876.496,1e+20,433015,1,1246.75,0.000379601,264.156,-357974,392000,4500,0,392026,0,0.3,15.0154,3.66157,1e+20,1,392000,4500,-876.496,370.254
11,5416.87,-878.115,1e+20,433013,1,1247.73,0.000379601,263.318,-357768,392200,4950,0,392231,0,0.3,15.0008,4.02526,1e+20,1,392200,4950,-878.115,369.611
12,5909.31,-879.684,1e+20,433013,1,1248.65,0.000379597,262.483,-357563,392400,5400,0,392437,0,0.3,14.9888,4.38862,1e+20,1,392400,5400,-879.684,368.966
